stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-AAC,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.291284,-76.636279,82,0,98,86,69,79.1,1,6.8,3.8,5,9.7,0,1.5,14.8,0,2.5,2.5,0.8,1.6,6.8,1.7,4.9,6.8,3.8,5,1008.2,1002.81,0.16,1.8,0.79
BSEC-AAC,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.291284,-76.636279,222.3,2,170,82,47,67,1,7.2,0.6,3.7,17.6,0,3,25.6,0,4.6,1.5,-4.3,-2,7.1,-1.6,3.2,7.2,0.6,3.7,1011.41,1006.6,-0.02,0,0
BSEC-AAC,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.291284,-76.636279,208,2,249,90,42,71.8,1,9.7,-2.4,2.5,10.1,0,0.4,13,0,0.6,0,-4.1,-2.3,9.7,-2.4,2.5,9.7,-2.4,2.5,1008.3,1003.79,-0.14,0,0
BSEC-AAC,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.291284,-76.636279,154.6,1,221,77,41,58.6,1,6.3,-0.4,3.7,16.6,0,2.9,23.8,0,4.5,-0.2,-8.2,-3.8,6.1,-3.7,3.3,6.3,-0.4,3.7,1014.09,1002.51,0.4,0,0
BSEC-AAC,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.291284,-76.636279,230.4,2,127,80,38,61.5,1,5.9,-3.8,-0.3,10.1,0,0.9,14.8,0,1.4,-3.7,-8.9,-7,5.9,-5.4,-0.4,5.9,-3.8,-0.3,1018.08,1011.51,-0.08,0,0
BSEC-AAC,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.291284,-76.636279,128.1,1,92,98,71,88.1,1,3.2,-2,1.1,16.2,0,3.1,25.6,0,4.3,2.9,-5.3,-0.7,3.2,-2.1,0.5,3.2,-2,1.1,1011.72,991.2,-0.8,10.8,33.81
BSEC-AAC,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.291284,-76.636279,222.2,2,259,96,59,78.8,1,8.7,1.5,4.7,17.6,0,2.6,31.3,0,4.3,3.3,-1.3,1.1,8.5,-0.9,4.4,8.7,1.5,4.7,1008.4,991.81,0.66,0,0
BSEC-AAC,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.291284,-76.636279,229.1,2,237,86,39,65.2,1,11.5,1.2,4.9,17.3,0,1.6,22,0,2.5,0.2,-3.2,-1.3,11.5,1.2,4.7,11.5,1.2,4.9,1019.71,1008.3,0.39,0,0
BSEC-AAC,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.291284,-76.636279,24.9,0,259,99,80,91.8,1,13.7,2.8,7.7,13.7,0,1.7,29.5,0,3,13.4,0.1,6.5,13.7,1.9,7.7,13.7,2.8,7.7,1017.71,973.01,-1.85,34.8,72.9
BSEC-AAC,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.291284,-76.636279,116.3,1,243,99,42,57.6,1,13,4.9,8.7,34.6,0,6.5,43.9,0,9.9,12.8,-3,0.5,13,3.8,7.9,13,4.9,8.7,997.39,973.01,1,0,0
BSEC-AAC,America/New_York,2024-01-12 00:00:00,01/11/2024,1705035480,39.291284,-76.636279,238.8,2,245,84,39,64.2,1,12,0.6,5.5,7.6,0,0.2,11.2,0,0.5,0.6,-2.4,-1,12,0.6,5.5,12,0.6,5.5,1006.5,997.29,0.38,0,0
BSEC-AAC,America/New_York,2024-01-13 00:00:00,01/12/2024,1705121940,39.291284,-76.636279,218.6,2,78,99,52,75.7,1,11.1,0.4,5.8,11.2,0,1.5,18.4,0,2.4,10.8,-1.7,1.6,11.1,0.4,5.7,11.1,0.4,5.8,1010.8,984.19,-0.93,15.6,16.21
BSEC-AAC,America/New_York,2024-01-14 00:00:00,01/13/2024,1705208340,39.291284,-76.636279,259,2,243,99,36,68.9,1,12.5,1,7.4,31.3,0,5,49.7,0,7.9,12,-7.7,1.3,12.5,-3,6.6,12.5,1,7.4,1000.31,979.31,0.66,6.6,3.3
BSEC-AAC,America/New_York,2024-01-15 00:00:00,01/14/2024,1705294740,39.291284,-76.636279,217.8,2,250,86,21,53.6,1,6.7,-2.7,0.2,27,0,2.7,36.7,0,4.4,-0.3,-17,-9.1,6.7,-4.8,-0.3,6.7,-2.7,0.2,1011.79,998.92,0.46,0,0
BSEC-AAC,America/New_York,2024-01-16 00:00:00,01/15/2024,1705381140,39.291284,-76.636279,74.6,0,276,96,29,79.4,1,-1.6,-4.4,-2.9,11.9,0,0.9,16.6,0,1.4,-3.4,-17.5,-6.5,-1.6,-7.1,-3,-1.6,-4.4,-2.9,1014.49,1007.48,-0.16,0,0
BSEC-AAC,America/New_York,2024-01-17 00:00:00,01/16/2024,1705467480,39.291284,-76.636279,124.4,1,123,95,55,79.1,1,-0.3,-7.8,-3.3,24.5,0,2,34.9,0,3.3,-2.5,-14.1,-6.6,-0.3,-13,-3.8,-0.3,-7.8,-3.3,1007.48,997.8,-0.09,0,0
BSEC-AAC,America/New_York,2024-01-18 00:00:00,01/17/2024,1705553940,39.291284,-76.636279,266.6,2,247,74,30,55.1,1,-1.5,-10.4,-6.7,19.4,0,2.1,25.6,0,3.1,-11.7,-17.5,-14.6,-1.6,-14.5,-7.3,-1.5,-10.4,-6.7,1011.01,1004.91,0.24,0,0
BSEC-AAC,America/New_York,2024-01-19 00:00:00,01/18/2024,1705640340,39.291284,-76.636279,148.8,1,245,79,41,59.9,1,1.1,-9.1,-2.6,4.7,0,0.1,5.4,0,0.2,-4,-13.7,-9.4,1.1,-9.1,-2.6,1.1,-9.1,-2.6,1012.6,1003.39,-0.3,0,0
BSEC-AAC,America/New_York,2024-01-20 00:00:00,01/19/2024,1705726740,39.291284,-76.636279,66,0,102,98,66,86.4,1,0.2,-5,-1.6,10.8,0,1.9,18.4,0,2.9,-1.9,-6.4,-3.7,0.2,-6.1,-1.8,0.2,-5,-1.6,1004.1,995.6,0.03,0,0
BSEC-AAC,America/New_York,2024-01-21 00:00:00,01/20/2024,1705813140,39.291284,-76.636279,271,2,260,82,43,58.5,1,-3,-8.6,-5.4,21.2,0,4,29.5,0,6.6,-5.7,-15.2,-12.4,-3,-12.5,-6.5,-3,-8.6,-5.4,1013.31,1003.59,0.39,0,0
BSEC-AAC,America/New_York,2024-01-22 00:00:00,01/21/2024,1705899540,39.291284,-76.636279,276.5,2,264,67,43,57.2,1,1.6,-6.7,-3.1,18.7,0,3.4,31.3,0,5.5,-8.8,-13.7,-10.5,1.6,-11.9,-3.9,1.6,-6.7,-3.1,1024.59,1013.11,0.46,0,0
BSEC-AAC,America/New_York,2024-01-23 00:00:00,01/22/2024,1705985940,39.291284,-76.636279,263.2,2,26,87,33,63.6,1,5.8,-8.2,-2.3,6.5,0,0.3,9.4,0,0.6,-4.7,-11.4,-8.6,5.8,-8.2,-2.3,5.8,-8.2,-2.3,1026.11,1021.2,-0.13,1.8,0.79
BSEC-AAC,America/New_York,2024-01-24 00:00:00,01/23/2024,1706072340,39.291284,-76.636279,218.9,2,166,91,39,67,1,8.5,-3.8,1.8,3.6,0,0.1,5.4,0,0.2,-2,-5.9,-4.1,8.5,-3.8,1.8,8.5,-3.8,1.8,1021.61,1019.71,0.01,1.8,0.51
BSEC-AAC,America/New_York,2024-01-25 00:00:00,01/24/2024,1706158740,39.291284,-76.636279,126.5,1,109,93,60,83.8,1,7.2,2.3,4.9,4.7,0,0.1,5.4,0,0.2,5.5,-3.9,2.3,7.2,2.3,4.9,7.2,2.3,4.9,1021.5,1011.72,-0.4,0,0
BSEC-AAC,America/New_York,2024-01-26 00:00:00,01/25/2024,1706245140,39.291284,-76.636279,105.6,1,111,99,89,96.2,0,14.4,6.6,10,4.7,0,0.1,5.4,0,0.1,12.8,5.4,9.5,14.4,6.6,10,14.4,6.6,10,1011.99,1006.81,-0.21,1.8,4.6
BSEC-AAC,America/New_York,2024-01-27 00:00:00,01/26/2024,1706331540,39.291284,-76.636279,263.3,2,218,99,55,90.6,1,25.1,9.5,14.9,13,0,0.5,16.6,0,0.8,18.9,9.4,13.1,25.1,9.5,14.9,25.2,9.5,14.9,1007.89,1001.39,0.05,1.8,0.51
BSEC-AAC,America/New_York,2024-01-28 00:00:00,01/27/2024,1706417940,39.291284,-76.636279,210.3,2,189,99,58,85.4,1,14.4,6.6,10,10.1,0,0.9,14.8,0,1.5,10.2,5.8,7.5,14.4,5.9,10,14.4,6.6,10,1012.29,1007.11,-0.02,1.8,1.5
BSEC-AAC,America/New_York,2024-01-29 00:00:00,01/28/2024,1706504340,39.291284,-76.636279,180,1,88,98,89,94.3,1,7,5,5.7,11.9,0,3.6,18.4,0,5,6.1,3.7,4.9,7,2.4,5.4,7,5,5.7,1007.32,992.01,-0.54,13.21,34.8
BSEC-AAC,America/New_York,2024-01-30 00:00:00,01/29/2024,1706590740,39.291284,-76.636279,149.8,1,103,90,55,69.5,1,6.8,4.8,5.6,21.2,0,5.4,27.7,0,8.1,3.7,-1.8,0.3,6.8,1.5,4.7,6.8,4.8,5.6,1008.7,994.21,0.59,0,0
BSEC-AAC,America/New_York,2024-01-31 00:00:00,01/30/2024,1706677140,39.291284,-76.636279,173.8,1,98,78,64,70.9,1,5,2.7,3.6,11.9,0,1.6,16.6,0,2.4,0,-2.7,-1.2,5,1.1,3.6,5,2.7,3.6,1012.09,1008.09,0,0,0
BSEC-AAC,America/New_York,2024-02-01 00:00:00,01/31/2024,1706763540,39.291284,-76.636279,96.9,0,94,96,76,86.7,1,6.1,0.6,3.7,6.8,0,0.6,9.4,0,1,3.2,-0.4,1.6,6.1,0.6,3.7,6.1,0.6,3.7,1009.11,1006.81,-0.03,0,0
BSEC-AAC,America/New_York,2024-02-02 00:00:00,02/01/2024,1706849940,39.291284,-76.636279,306.6,2,243,99,45,78.7,1,13.2,-1.4,5.1,18.7,0,0.8,22,0,1.2,3.3,-1.5,1.2,13.2,-1.4,5,13.2,-1.4,5.1,1007.79,999.8,-0.3,0,0
BSEC-AAC,America/New_York,2024-02-03 00:00:00,02/02/2024,1706936340,39.291284,-76.636279,161.8,1,94,95,51,73.7,1,9.1,4.6,6.8,18.7,0,4.1,23.8,0,5.6,5.7,-2.6,2.2,9.1,1.6,6.3,9.1,4.6,6.8,1006.3,998.21,0.25,3,0.79
BSEC-AAC,America/New_York,2024-02-04 00:00:00,02/03/2024,1707022680,39.291284,-76.636279,320.1,3,96,70,39,57.7,1,9.4,1.5,4.8,12.2,0,2.6,18.4,0,3.7,-1.8,-4.4,-3.1,9.4,-0.2,4.5,9.4,1.5,4.8,1008.4,1005.01,0.01,0,0
BSEC-AAC,America/New_York,2024-02-05 00:00:00,02/04/2024,1707109140,39.291284,-76.636279,325.9,3,105,77,29,56.8,1,11.8,0.4,4.4,9,0,0.7,11.2,0,1.1,-1.1,-9,-3.8,11.8,0.1,4.4,11.8,0.4,4.4,1006.91,1001.08,-0.21,0,0
BSEC-AAC,America/New_York,2024-02-06 00:00:00,02/05/2024,1707195540,39.291284,-76.636279,315.6,3,99,82,41,59.7,1,9.4,-0.7,4.1,11.2,0,2.2,14.8,0,3.1,-0.4,-5.5,-3.3,9.4,-0.7,3.8,9.4,-0.7,4.1,1005.32,1000.91,0.16,0,0
BSEC-AAC,America/New_York,2024-02-07 00:00:00,02/06/2024,1707281940,39.291284,-76.636279,331.3,3,97,74,30,53.8,1,6.7,-0.7,2.6,14.4,0,2.4,18.4,0,3.4,-2.7,-10.4,-6.3,6.7,-2.4,2.2,6.7,-0.7,2.6,1012.6,1005.11,0.29,0,0
BSEC-AAC,America/New_York,2024-02-08 00:00:00,02/07/2024,1707368340,39.291284,-76.636279,294.3,2,105,76,32,54.8,1,11.7,-1.4,3.8,8.3,0,0.7,11.2,0,1.1,-1.9,-7.1,-4.8,11.7,-1.4,3.7,11.7,-1.4,3.8,1016.49,1011.89,0.1,0,0
BSEC-AAC,America/New_York,2024-02-09 00:00:00,02/08/2024,1707454680,39.291284,-76.636279,332,3,269,86,42,64.4,1,12.5,0.1,5.3,5.8,0,0.3,9.4,0,0.5,1.4,-3.8,-1.2,12.5,0.1,5.3,12.5,0.1,5.3,1015.98,1010.5,-0.18,0,0
BSEC-AAC,America/New_York,2024-02-10 00:00:00,02/09/2024,1707541140,39.291284,-76.636279,311.6,3,265,91,50,77.6,1,15.4,4.7,7.3,5.8,0,0.2,7.2,0,0.3,5.8,1.3,3.5,15.4,4.2,7.3,15.4,4.7,7.3,1010.6,1002.61,-0.32,0,0
BSEC-AAC,America/New_York,2024-02-11 00:00:00,02/10/2024,1707627540,39.291284,-76.636279,215.9,2,245,93,58,79.3,1,17.4,5.5,10.2,2.9,0,0,5.4,0,0,10.2,3.5,6.6,17.4,5.5,10.2,17.4,5.5,10.2,1002.71,997.9,-0.13,0,0
BSEC-AAC,America/New_York,2024-02-12 00:00:00,02/11/2024,1707713940,39.291284,-76.636279,137.9,1,113,93,60,75.3,1,13.6,8,11.3,7.6,0,0.5,9.4,0,0.7,9.9,3.7,7,13.6,8,11.3,13.6,8,11.3,1003.29,999.49,0.11,1.8,0.71
BSEC-AAC,America/New_York,2024-02-13 00:00:00,02/12/2024,1707800340,39.291284,-76.636279,86.3,0,145,98,77,88.2,1,9.2,5.5,7.7,11.2,0,0.5,16.6,0,0.8,7.4,4,5.8,9.2,3.9,7.7,9.2,5.5,7.7,1003.18,991.5,-0.44,3.61,5.89
BSEC-AAC,America/New_York,2024-02-14 00:00:00,02/13/2024,1707886620,39.291284,-76.636279,384.4,3,94,98,47,77,1,8.3,1.2,4.6,20.9,0,4.6,31.3,0,7,5.2,-3.6,0.5,8.2,-2.1,3.8,8.3,1.2,4.6,1003.49,983.81,0.49,10.8,29.69
BSEC-AAC,America/New_York,2024-02-15 00:00:00,02/14/2024,1707973140,39.291284,-76.636279,375.5,3,255,72,32,47.3,1,6.5,-1.5,3.2,21.2,0,3.6,31.3,0,5.7,-2.5,-10.1,-7.2,6.4,-1.9,2.6,6.5,-1.5,3.2,1012.7,1003.12,0.38,0,0
BSEC-AAC,America/New_York,2024-02-16 00:00:00,02/15/2024,1708059540,39.291284,-76.636279,386.3,3,227,93,47,67.8,1,8.1,-2.7,2,7.2,0,0.6,11.2,0,1.1,1.7,-8.8,-3.6,8.1,-3.3,1.9,8.1,-2.7,2,1013.88,998.21,-0.58,0,0
BSEC-AAC,America/New_York,2024-02-17 00:00:00,02/16/2024,1708145940,39.291284,-76.636279,339.8,3,256,94,27,43.1,1,9.4,1.1,5.5,21.2,0,3.1,36.7,0,5,0.6,-9.7,-6.4,9.4,-0.2,5.1,9.4,1.1,5.5,1006.4,998.1,0.02,0,0
BSEC-AAC,America/New_York,2024-02-18 00:00:00,02/17/2024,1708232340,39.291284,-76.636279,459.6,4,270,98,38,64.6,1,4.8,-2.3,1,22.3,0,3.5,31.3,0,5.5,0.2,-11.8,-5.6,4.8,-4.3,0.2,4.8,-2.3,1,1005.11,995.19,0.2,1.8,3.99
BSEC-AAC,America/New_York,2024-02-19 00:00:00,02/18/2024,1708318740,39.291284,-76.636279,388.9,3,243,69,25,45,1,9,-4.8,2,18.7,0,1.7,25.6,0,2.8,-6.9,-11.9,-9.4,9,-5.5,1.8,9,-4.8,2,1005.11,998.61,0.01,1.8,0.79
