stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-ABL,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.327258,-76.611422,104.8,1,244,89,70,82.2,1,6.9,3.1,4.7,5.4,0,0.2,9.4,0,0.4,2.9,1.1,1.9,6.9,3.1,4.7,6.9,3.1,4.7,1007.11,1001.8,0.15,0,0
BSEC-ABL,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.327258,-76.611422,301.9,2,24,84,50,68.5,1,7.7,0.7,3.8,7.2,0,0.6,11.2,0,1.2,1.5,-3.9,-1.6,7.7,0.5,3.8,7.7,0.7,3.8,1010.19,1005.38,-0.02,0,0
BSEC-ABL,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.327258,-76.611422,277.1,2,194,87,45,71,1,9.4,-1.9,2.9,5,0,0.1,7.2,0,0.2,0.3,-3.9,-2.1,9.4,-1.9,2.9,9.4,-1.9,2.9,1007.32,1002.81,-0.14,13.79,2.31
BSEC-ABL,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.327258,-76.611422,174.6,1,314,74,43,60.7,1,6.3,-1.1,3.6,6.5,0,0.5,13,0,1.1,-0.4,-7.5,-3.4,6.3,-1.1,3.5,6.3,-1.1,3.6,1012.7,1001.29,0.4,0,0
BSEC-ABL,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.327258,-76.611422,288.9,2,248,88,40,64.2,1,6.4,-4.2,-0.4,7.2,0,0.2,9.4,0,0.4,-3.7,-8.6,-6.6,6.4,-4.2,-0.4,6.4,-4.2,-0.4,1017,1010.4,-0.06,0,0
BSEC-ABL,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.327258,-76.611422,116.3,1,267,97,69,87.5,1,3.2,-0.9,1.2,7.2,0,0.6,11.2,0,1.1,2.8,-4.8,-0.8,3.2,-1.5,1.1,3.2,-0.9,1.2,1010.6,990.21,-0.8,15.6,47.7
BSEC-ABL,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689880,39.327258,-76.611422,340,3,139,97,64,80.9,1,8.6,1.4,4.4,8.3,0,0.6,14.8,0,1.3,3.3,-0.7,1.2,8.6,1.4,4.4,8.6,1.4,4.4,1007.21,990.79,0.66,1.8,0.3
BSEC-ABL,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.327258,-76.611422,307.3,2,177,90,43,68.4,1,10.9,-0.2,4.6,5.8,0,0.3,14.8,0,0.7,0.1,-2.2,-1,10.9,-0.2,4.6,10.9,-0.2,4.6,1018.69,1007.11,0.39,0,0
BSEC-ABL,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.327258,-76.611422,34,0,199,99,83,93.3,1,13.6,1.1,7.2,19.4,0,1.6,29.5,0,2.5,13.3,-0.7,6.2,13.6,1.1,7.2,13.6,1.1,7.2,1016.7,972.3,-1.85,51.59,106.4
BSEC-ABL,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.327258,-76.611422,377.5,3,165,99,47,61.6,1,13.1,5,8.4,15.5,0,1.4,20.2,0,2.7,13,-1.9,1.2,13.1,5,8.4,13.1,5,8.4,996.51,972,1.01,0,0
