stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-AES,America/New_York,2024-08-14 00:00:00,08/13/2024,1723607940,39.35,-76.684,797.7,7,329,75,46,57.7,-1,27.1,20.5,24.2,9.7,0,2.1,14.8,0,2.9,16,13.8,15.1,27.1,20.5,24.2,27.3,20.5,24.2,1012.9,1011.31,-0.03,0,0
BSEC-AES,America/New_York,2024-08-15 00:00:00,08/14/2024,1723694340,39.35,-76.684,675.8,6,328,76,46,63.5,1,27.4,19.4,23.3,13.7,0,2.3,14.8,0,3.2,18.2,14.6,15.7,27.4,19.4,23.3,27.9,19.4,23.4,1014.7,1012.29,0.03,0,0
BSEC-AES,America/New_York,2024-08-16 00:00:00,08/15/2024,1723780740,39.35,-76.684,661.3,6,327,75,42,60.8,1,28.8,19.8,24,12.2,0,2,14.8,0,2.8,18.2,14.1,15.7,28.8,19.8,24,29.5,19.8,24.1,1015.1,1012.19,-0.02,0,0
BSEC-AES,America/New_York,2024-08-17 00:00:00,08/16/2024,1723867140,39.35,-76.684,828.5,8,2,89,45,66.3,1,31,17.8,24.6,14.8,0,1.8,20.2,0,3,20.1,15.9,17.5,31,17.8,24.6,32.6,17.8,25,1013.51,1009.69,-0.12,0,0
BSEC-AES,America/New_York,2024-08-18 00:00:00,08/17/2024,1723953540,39.35,-76.684,607.9,5,144,95,65,86.1,1,26.6,19.4,22.9,20.2,0,2.3,23.8,0,3.5,22.5,17.8,20.3,26.6,19.4,22.9,28.7,19.4,23.3,1010.5,1005.38,-0.17,12.6,5.59
BSEC-AES,America/New_York,2024-08-19 00:00:00,08/18/2024,1724039940,39.35,-76.684,906.3,8,146,98,69,88.6,0,29,19.1,23.2,15.1,0,1.2,18.4,0,2,24.1,18.3,21.1,29,19.1,23.2,33.1,19.1,24.2,1006.4,1000.61,-0.14,50.39,30.2
BSEC-AES,America/New_York,2024-08-20 00:00:00,08/19/2024,1724126220,39.35,-76.684,950.8,9,329,99,63,82.2,1,27.5,19.8,22.7,19.4,0,3.7,22,0,5,20.9,16.5,19.3,27.5,19.8,22.7,29,19.8,23,1005.79,1000.51,0.12,0,0
BSEC-AES,America/New_York,2024-08-21 00:00:00,08/20/2024,1724212740,39.35,-76.684,932.5,9,328,82,50,64.8,1,20.5,15.5,18.4,22,0,6.5,31.3,0,8.7,17,8.8,11.4,20.5,15.5,18.4,20.5,15.5,18.4,1013.72,1005.38,0.33,0,0
BSEC-AES,America/New_York,2024-08-22 00:00:00,08/21/2024,1724299080,39.35,-76.684,857,8,327,75,41,59.9,0,22.1,12.9,17.5,18.7,0,4,23.8,0,5.4,10.9,8,9.3,22.1,12.9,17.5,21.5,12.9,17.4,1016.59,1013.11,0.11,0,0
BSEC-AES,America/New_York,2024-08-23 00:00:00,08/22/2024,1724385540,39.35,-76.684,813,7,327,83,40,61.5,1,23.6,13.2,18.6,11.2,0,1.9,14.8,0,2.7,12.6,8.5,10.6,23.6,13.2,18.6,23.2,13.2,18.4,1019.81,1015.98,0.13,0,0
BSEC-AES,America/New_York,2024-08-24 00:00:00,08/23/2024,1724471880,39.35,-76.684,709.4,6,326,89,37,60.6,1,27.2,13.4,20.6,9,0,1,11.2,0,1.5,14.1,9.9,12,27.2,13.4,20.6,27,13.4,20.5,1022.01,1018.8,0.02,0,0
BSEC-AES,America/New_York,2024-08-25 00:00:00,08/24/2024,1724558340,39.35,-76.684,688.8,6,134,84,46,65.8,1,28.2,15.9,22.1,13,0,1.1,16.6,0,1.8,17.8,12.3,15.1,28.2,15.9,22.1,28.8,15.9,22.2,1020.89,1017.2,-0.07,0,0
BSEC-AES,America/New_York,2024-08-26 00:00:00,08/25/2024,1724630340,39.35,-76.684,596.2,5,151,86,51,66.5,1,29.7,17.2,23.2,13.7,0,1.4,16.6,0,2.1,19.7,14.5,16.3,29.7,17.2,23.2,30.8,17.2,23.5,1020.12,1016.49,-0.06,0,0
BSEC-AES,America/New_York,2024-08-27 00:00:00,08/26/2024,1724731140,39.35,-76.684,116.8,1,325,94,66,87.2,-1,28.2,21.6,24,6.1,0,0.7,9.4,0,1.2,22.4,20.6,21.7,28.2,21.6,24,30.8,22.3,24.9,1014.9,1013.21,0.12,0,2.31
BSEC-AES,America/New_York,2024-08-28 00:00:00,08/27/2024,1724817540,39.35,-76.684,723.8,7,319,96,44,67.8,1,31.3,18.8,25.4,11.5,0,1.1,13,0,1.7,20.8,16.5,18.4,31.3,18.8,25.4,32.8,18.8,26,1015.51,1011.89,-0.08,0,0
BSEC-AES,America/New_York,2024-08-29 00:00:00,08/28/2024,1724903880,39.35,-76.684,683,6,20,94,48,69.7,1,33.6,22.2,27.7,15.5,0,1.6,20.2,0,2.3,23.6,17.9,21.4,33.6,22.2,27.7,39.1,22.7,30.1,1013,1009.52,-0.02,18.01,3
BSEC-AES,America/New_York,2024-08-30 00:00:00,08/29/2024,1724990340,39.35,-76.684,738.6,7,333,95,71,82.2,1,28.7,20.2,25.3,17.6,0,1.9,20.2,0,3,25,19.2,22,28.7,20.2,25.3,32.8,20.2,26.8,1019,1011.89,0.28,6.6,1.6
BSEC-AES,America/New_York,2024-08-31 00:00:00,08/30/2024,1725076740,39.35,-76.684,264,2,124,98,85,93.3,1,22.4,19,20.5,13,0,0.7,18.4,0,1.4,20.1,18.4,19.3,22.4,19,20.5,23,19,20.6,1018.9,1016.19,-0.09,1.8,0.99
BSEC-AES,America/New_York,2024-09-01 00:00:00,08/31/2024,1725163140,39.35,-76.684,592.5,5,148,98,76,88.2,1,26.3,19.7,22.5,13.7,0,1.1,16.6,0,1.6,22.1,19.1,20.3,26.3,19.7,22.5,28.1,19.7,22.9,1016.8,1009.41,-0.3,1.19,0.2
BSEC-AES,America/New_York,2024-09-02 00:00:00,09/01/2024,1725249540,39.35,-76.684,759.8,7,329,95,64,81.7,1,29.1,20.2,24.3,10.8,0,0.7,14.8,0,1.1,23,19.2,20.9,29.1,20.2,24.3,32.4,20.2,25.4,1009.89,1005.99,-0.08,0,0
BSEC-AES,America/New_York,2024-09-03 00:00:00,09/02/2024,1725335820,39.35,-76.684,695.8,6,327,91,40,63.2,1,24.3,17.2,21.6,24.5,0,5.4,31.3,0,7.3,21.4,9.6,13.9,24.3,17.2,21.6,24.2,17.2,21.5,1017.91,1007.48,0.42,0,0
