stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-AGC,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.298257,-76.582909,83.6,0,328,87,70,81.1,1,6.3,4,4.9,9.4,0,2.2,14.8,0,3.2,2.6,0.8,1.9,6.2,2,4.7,6.3,4,4.9,1009.41,1004,0.17,3,0.79
BSEC-AGC,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.298257,-76.582909,424.5,4,312,83,52,67.8,1,6.6,1.7,4.1,15.5,0,4.2,22,0,6.3,1.5,-4,-1.5,6.6,0.3,3.4,6.6,1.7,4.1,1012.5,1007.69,-0.03,0,0
BSEC-AGC,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.298257,-76.582909,369.7,3,287,81,47,65.9,1,9.1,-1,4.7,8.6,0,1,9.4,0,1.6,0.3,-3.8,-1.3,9.1,-1,4.6,9.1,-1,4.7,1009.52,1005.01,-0.15,0,0
BSEC-AGC,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.298257,-76.582909,179.5,1,315,70,42,59,1,6.4,-0.4,3.7,14.8,0,3.1,25.6,0,4.6,-0.4,-7.3,-3.7,6.2,-2.9,3.2,6.4,-0.4,3.7,1015.21,1003.69,0.38,0,0
BSEC-AGC,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.298257,-76.582909,367.4,3,305,81,41,61.4,1,5.4,-3.3,0.3,9.4,0,1.5,11.2,0,2.3,-3.3,-8.7,-6.4,5.4,-6.2,0.2,5.4,-3.3,0.3,1019.61,1012.7,-0.06,0,0
BSEC-AGC,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.298257,-76.582909,157.4,1,358,97,67,87.4,1,3.4,-0.6,1.4,13.7,0,2.4,23.8,0,3.9,3,-4.6,-0.6,3.4,-2.2,1.1,3.4,-0.6,1.4,1013.11,992.21,-0.82,10.8,28.91
BSEC-AGC,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.298257,-76.582909,551.5,5,296,95,63,78.8,1,8.3,1.6,4.8,18,0,3.7,29.5,0,5.5,3.5,-0.8,1.2,8.3,-0.5,4.4,8.3,1.6,4.8,1009.41,992.79,0.67,0,0
BSEC-AGC,America/New_York,2024-01-09 00:00:00,01/08/2024,1704775260,39.298257,-76.582909,386,3,314,83,45,64.6,1,9.7,1.2,5.3,10.8,0,2.1,14.8,0,3.1,0.5,-2.3,-1,9.7,1,5.2,9.7,1.2,5.3,1021,1009.41,0.41,0,0
BSEC-AGC,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.298257,-76.582909,32.3,0,89,99,81,96,-1,13.4,3.9,9,24.5,0,4.8,38.5,0,7.4,13.1,0.9,8.4,13.4,2.1,8.8,13.4,3.9,9,1012.39,974.09,-2.38,68.4,75.69
BSEC-AGC,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949080,39.298257,-76.582909,564.2,5,254,64,45,50.9,1,10.5,6.1,8.6,30.2,0,7.2,40.3,0,10.4,2.3,-2.1,-1.1,10.5,4.9,7.7,10.5,6.1,8.6,998.61,974.09,0.99,0,0
