stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-BBE,America/New_York,2024-08-16 00:00:00,08/15/2024,1723780740,39.225,-76.599,545.4,5,107,78,41,58.4,-1,30.7,22.1,27,11.2,0,2.2,13,0,2.9,19.5,15.5,17.9,30.7,22.1,27,31.3,22.4,27.5,1007.48,1006.2,0.01,0,0
BSEC-BBE,America/New_York,2024-08-17 00:00:00,08/16/2024,1723867080,39.225,-76.599,862.6,8,190,88,47,70.6,0,30.1,19.3,24.9,20.2,0,3.8,25.6,0,4.8,22.8,16.9,18.9,30.1,19.3,24.9,31.9,19.3,25.7,1007.79,1004,-0.11,0,0
BSEC-BBE,America/New_York,2024-08-18 00:00:00,08/17/2024,1723953540,39.225,-76.599,719.6,7,202,97,66,86.8,1,26.6,19,23.2,19.4,0,4.8,22,0,6,23.5,18,20.8,26.6,19,23.2,29,19,23.9,1004.81,999.59,-0.17,11.99,11
BSEC-BBE,America/New_York,2024-08-19 00:00:00,08/18/2024,1724039940,39.225,-76.599,862.3,8,211,98,73,90.6,1,29.2,19.4,23.3,23.8,0,3.6,31.3,0,4.6,24.5,18.9,21.6,29.2,19.4,23.3,34,19.4,24.5,1000.91,994.68,-0.14,74.4,27.71
BSEC-BBE,America/New_York,2024-08-20 00:00:00,08/19/2024,1724126340,39.225,-76.599,918.4,8,316,99,59,80.1,1,28.6,19.8,23.7,22,0,5.4,31.3,0,7.2,21.7,17.2,19.7,28.6,19.8,23.7,30.5,19.8,24.3,1000,994.68,0.12,1.19,0.2
BSEC-BBE,America/New_York,2024-08-21 00:00:00,08/20/2024,1724212740,39.225,-76.599,902.4,8,354,79,48,63.1,1,22.2,16.2,19.6,24.5,0,8.9,33.1,0,11.7,17.6,9.3,12.2,22.2,16.2,19.6,22.2,16.2,19.6,1008.2,999.7,0.34,0,0
BSEC-BBE,America/New_York,2024-08-22 00:00:00,08/21/2024,1724299080,39.225,-76.599,836.3,8,326,83,40,60.1,1,24.1,12.6,18.3,19.8,0,4.9,25.6,0,6.6,11.6,8.5,10,24.1,12.6,18.3,23.6,12.6,18.2,1011.01,1007.59,0.13,0,0
BSEC-BBE,America/New_York,2024-08-23 00:00:00,08/22/2024,1724385540,39.225,-76.599,840.2,8,311,88,37,60.9,1,25.2,13.4,19.5,14.4,0,3.3,18.4,0,4.4,13.3,9,11.2,25.2,13.4,19.5,24.8,13.4,19.3,1014.19,1010.4,0.13,0,0
BSEC-BBE,America/New_York,2024-08-24 00:00:00,08/23/2024,1724471940,39.225,-76.599,696.5,6,236,89,41,61.7,1,26.2,14,20.9,13.7,0,2.9,16.6,0,3.8,15.5,10.6,12.7,26.2,14,20.9,26.2,14,20.7,1016.49,1013.31,0,0,0
BSEC-BBE,America/New_York,2024-08-25 00:00:00,08/24/2024,1724558340,39.225,-76.599,707.6,6,229,89,48,68.3,1,28,15.6,22,16.6,0,3.5,18.4,0,4.6,20.1,12.8,15.7,28,15.6,22,29,15.6,22.2,1015.31,1011.51,-0.07,0,0
BSEC-BBE,America/New_York,2024-08-26 00:00:00,08/25/2024,1724630340,39.225,-76.599,644.5,6,209,91,52,69.6,0,29.5,16.6,23,16.6,0,3.9,23.8,0,5.1,20.6,15,16.8,29.5,16.6,23,30.9,16.6,23.4,1014.49,1010.9,-0.06,0,0
BSEC-BBE,America/New_York,2024-08-27 00:00:00,08/26/2024,1724731140,39.225,-76.599,202.3,1,239,97,72,91.8,0,28.1,21.2,23.3,22.7,0,3.2,33.1,0,4.1,23.6,20.4,21.9,28.1,21.2,23.3,31.2,21.9,24.2,1009.11,1007.42,0.09,94.79,22.1
BSEC-BBE,America/New_York,2024-08-28 00:00:00,08/27/2024,1724817540,39.225,-76.599,679.7,6,226,96,48,71.9,0,31,20.1,25.4,13,0,3.1,14.8,0,4,21.9,17.4,19.5,31,20.1,25.4,33.4,20.1,26.3,1009.79,1006.1,-0.09,1.8,0.3
