stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-BCC,America/New_York,2024-05-28 00:00:00,05/27/2024,1716868680,39.301,-76.545,541.3,5,197,96,66,84.3,-1,25.8,17.9,22.8,14.8,0,4,18.4,0,5.4,22.1,16.7,20,25.8,17.9,22.8,26.4,17.9,23.2,1003.12,998.82,-0.09,22.81,21.31
BSEC-BCC,America/New_York,2024-05-29 00:00:00,05/28/2024,1716955080,39.301,-76.545,967.7,9,230,98,34,64,1,29.5,17.9,23,16.2,0,3.1,23.8,0,4.4,18.9,11.3,14.9,29.5,17.9,23,28.9,17.9,22.9,1007.11,1001.29,0.21,0,0
BSEC-BCC,America/New_York,2024-05-30 00:00:00,05/29/2024,1717041420,39.301,-76.545,985.6,9,222,91,42,68.9,1,25.5,15.7,19.6,10.4,0,1.4,13,0,2.2,16.5,10.5,13.4,25.5,15.7,19.6,25.2,15.7,19.5,1013.51,1006.5,0.25,25.81,7.59
BSEC-BCC,America/New_York,2024-05-31 00:00:00,05/30/2024,1717127940,39.301,-76.545,985.8,9,289,85,31,56.5,1,24.5,14.3,18.6,14.4,0,2.9,18.4,0,4.5,12.3,4.8,8.8,24.5,14.3,18.6,23.9,14.3,18.4,1017.61,1012.39,0.2,0,0
BSEC-BCC,America/New_York,2024-06-01 00:00:00,05/31/2024,1717213740,39.301,-76.545,861.3,8,324,62,25,43,1,25.6,12.8,19.1,15.8,0,2.4,18.4,0,3.7,9.7,3.6,5.7,25.6,12.8,19.1,24.9,12.8,18.8,1022.79,1017.61,0.15,0,0
BSEC-BCC,America/New_York,2024-06-02 00:00:00,06/01/2024,1717300740,39.301,-76.545,842.4,8,195,67,25,43.7,1,29,14.8,22.4,12.2,0,2,16.6,0,3.1,13.3,5.3,8.9,29,14.8,22.4,27.8,14.8,22,1022.79,1017.81,-0.13,0,0
BSEC-BCC,America/New_York,2024-06-03 00:00:00,06/02/2024,1717386900,39.301,-76.545,1134,11,232,71,33,54.7,1,30.3,17.9,23.5,14.4,0,2.8,18.4,0,4,17.1,10.7,13.5,30.3,17.9,23.5,29.4,17.9,23.4,1018.19,1012.5,-0.2,0,0
BSEC-BCC,America/New_York,2024-06-04 00:00:00,06/03/2024,1717473540,39.301,-76.545,1030.8,10,250,76,46,63.5,1,30.2,22.2,25.4,8.6,0,1.7,11.2,0,2.5,19.2,16.1,17.7,30.2,22.2,25.4,31.1,22.5,25.8,1013.72,1009.89,-0.05,0,0
BSEC-BCC,America/New_York,2024-06-05 00:00:00,06/04/2024,1717559940,39.301,-76.545,838.8,8,145,85,42,67.9,1,31.4,19.7,24.9,11.2,0,2,16.6,0,3.3,20,16.1,18.2,31.4,19.7,24.9,32.2,19.7,25.4,1014.6,1011.01,0.06,0,0
BSEC-BCC,America/New_York,2024-06-06 00:00:00,06/05/2024,1717646340,39.301,-76.545,886.8,8,149,97,70,87.4,1,27.9,21.8,23.2,15.1,0,2.5,23.8,0,3.9,22.8,19.6,21,27.9,21.8,23.2,30.6,22.3,24,1013.41,1002.71,-0.39,50.39,21.59
