stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-CCA,America/New_York,2024-06-14 00:00:00,06/13/2024,1718337540,39.305,-76.587,932.4,9,82,74,56,64,-1,31,24.9,27.7,11.2,0,3.6,16.6,0,5.4,21.6,19.1,20.2,31,24.9,27.7,33.9,25.3,29.3,1012.39,1009.52,-0.15,0,0.3
BSEC-CCA,America/New_York,2024-06-15 00:00:00,06/14/2024,1718423940,39.305,-76.587,1012.4,9,21,88,41,67,1,33.6,21.1,26.4,10.4,0,1.9,14.8,0,2.9,21.6,16.5,19.4,33.6,21.1,26.4,36.1,21.5,27.4,1010.5,1005.79,-0.05,3,2.01
BSEC-CCA,America/New_York,2024-06-16 00:00:00,06/15/2024,1718510340,39.305,-76.587,960,9,287,92,32,59.3,1,30.5,19.2,24.3,12.2,0,2.3,16.6,0,3.3,19.1,10.9,14.8,30.5,19.2,24.3,29.8,19.2,24,1016.09,1009.01,0.27,0,0
BSEC-CCA,America/New_York,2024-06-17 00:00:00,06/16/2024,1718596740,39.305,-76.587,842,8,87,73,34,52.6,1,30.3,17.8,24.3,13.7,0,2.1,18.4,0,3.2,18.4,10.9,13.5,30.3,17.8,24.3,29.7,17.8,24.2,1019.91,1015.82,0.1,0,0
BSEC-CCA,America/New_York,2024-06-18 00:00:00,06/17/2024,1718683140,39.305,-76.587,804.8,7,46,74,54,64,1,31.7,21.6,26.2,11.9,0,3.4,16.6,0,5,22,15.1,18.8,31.7,21.6,26.2,35.3,21.6,27.4,1019,1015.21,0,0,0
BSEC-CCA,America/New_York,2024-06-19 00:00:00,06/18/2024,1718769480,39.305,-76.587,781.3,7,52,73,49,61.8,1,32.9,23.3,27.6,12.6,0,2.9,14.8,0,4.4,22.4,17.8,19.5,32.9,23.3,27.6,36.7,23.5,29,1021.5,1017.71,0.15,0,0
BSEC-CCA,America/New_York,2024-06-20 00:00:00,06/19/2024,1718855940,39.305,-76.587,822.5,8,52,82,23,58.7,1,33.1,22.3,27.1,13.7,0,2.4,18.4,0,3.7,20.3,8.5,17.6,33.1,22.3,27.1,33.6,22.7,27.5,1024.59,1021.2,0.07,0,0
BSEC-CCA,America/New_York,2024-06-21 00:00:00,06/20/2024,1718942340,39.305,-76.587,860.5,8,42,81,46,63,1,33.3,22.3,27.2,12.2,0,2.5,16.6,0,3.7,21,17.7,19.2,33.3,22.3,27.2,36.2,22.7,28.3,1024.31,1019.91,-0.1,0,0
BSEC-CCA,America/New_York,2024-06-22 00:00:00,06/21/2024,1719028740,39.305,-76.587,819.5,7,37,80,40,62.7,1,36.3,22.5,28.3,9,0,2.1,13,0,3.2,22.1,18.6,20.1,36.3,22.5,28.3,40.6,22.9,30,1020.79,1014.39,-0.22,0,0
BSEC-CCA,America/New_York,2024-06-23 00:00:00,06/22/2024,1719115140,39.305,-76.587,822.8,8,31,81,40,62.4,1,38.2,24.6,30.5,13.7,0,2.2,22,0,3.3,23.9,20.5,22,38.2,24.6,30.5,45.1,25.2,33.8,1015.61,1007.79,-0.31,0,0
