stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-CLV2,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.209,-76.929,53,0,180,95,69,87.3,1,4.8,1.1,2.9,4,0,0.1,7.2,0,0.2,2.1,-0.8,0.9,4.8,1.1,2.9,4.8,1.1,2.9,1020.01,1014.39,0.19,1.8,0.51
BSEC-CLV2,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.209,-76.929,190.9,1,178,89,51,71.2,1,5.8,-0.5,2.4,6.5,0,0.5,11.2,0,0.9,0.9,-4,-2.4,5.8,-0.5,2.4,5.8,-0.5,2.4,1022.69,1018.29,-0.05,0,0
BSEC-CLV2,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.209,-76.929,174.4,1,167,90,46,73.4,1,7.9,-3.1,1.6,5.4,0,0.1,5.4,0,0.2,-1.1,-4.7,-2.9,7.9,-3.1,1.6,7.9,-3.1,1.6,1019.61,1015.31,-0.14,0,0
BSEC-CLV2,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.209,-76.929,177.4,1,179,86,47,67.5,1,6,-2.8,1.8,7.6,0,0.5,16.6,0,0.9,-0.3,-7.7,-3.7,6,-2.8,1.8,6,-2.8,1.8,1025.3,1014.19,0.4,0,0
BSEC-CLV2,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.209,-76.929,208.1,2,161,88,42,69.2,1,4.3,-7.5,-2.3,6.5,0,0.1,7.2,0,0.3,-5.5,-9.3,-7.5,4.3,-7.5,-2.3,4.3,-7.5,-2.3,1029.39,1022.69,-0.09,0,0
BSEC-CLV2,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603480,39.209,-76.929,108.3,1,115,99,79,92.5,1,2.1,-4.5,-0.4,11.2,0,0.6,18.4,0,1.1,2,-6.2,-1.5,2.1,-4.5,-0.5,2.1,-4.5,-0.4,1022.99,1003.39,-0.75,10.8,24.41
BSEC-CLV2,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.209,-76.929,199.2,1,185,99,62,81.2,1,8.5,-0.7,3.7,9.7,0,1,18.4,0,1.6,3.6,-1.6,0.5,8.5,-0.7,3.6,8.5,-0.7,3.7,1020.39,1003.79,0.65,1.8,0.3
BSEC-CLV2,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.209,-76.929,218.9,2,172,92,43,69.4,1,8.7,-2.4,3.4,6.5,0,0.4,9.4,0,0.8,-0.2,-3.8,-2.1,8.7,-2.4,3.4,8.7,-2.4,3.4,1030.99,1020.29,0.34,0,0
BSEC-CLV2,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.209,-76.929,25.5,0,98,99,86,95.6,1,13.8,-1.2,6.4,21.6,0,2.2,34.9,0,3.6,13.3,-2.8,5.7,13.8,-1.2,6.3,13.8,-1.2,6.4,1028.89,985.2,-1.8,21.01,78
BSEC-CLV2,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.209,-76.929,149.3,1,176,96,45,61.4,1,12.7,4.2,7.5,14,0,1.6,23.8,0,2.8,12.1,-3.2,0.3,12.7,3.6,7.4,12.7,4.2,7.5,1009.52,985.71,0.99,1.19,0.2
