stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-CLV,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.208,-76.928,52.8,0,181,95,69,87.3,1,4.8,1.1,2.9,2.9,0,0.1,5.4,0,0.2,2.1,-0.7,0.9,4.8,1.1,2.9,4.8,1.1,2.9,1030.31,1024.79,0.18,1.8,0.51
BSEC-CLV,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.208,-76.928,190.9,1,178,89,51,71.2,1,5.8,-0.5,2.4,6.5,0,0.5,11.2,0,0.9,0.9,-4,-2.4,5.8,-0.5,2.4,5.8,-0.5,2.4,1032.98,1028.62,-0.05,0,0
BSEC-CLV,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344280,39.208,-76.928,174.4,1,165,90,46,73.3,1,7.9,-3.1,1.7,5.4,0,0.1,5.4,0,0.2,-1.1,-4.7,-2.9,7.9,-3.1,1.7,7.9,-3.1,1.7,1030,1025.7,-0.14,0,0
BSEC-CLV,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.208,-76.928,177.4,1,178,86,47,67.6,1,6.1,-2.8,1.9,7.6,0,0.5,16.6,0,0.8,-0.4,-7.7,-3.7,6.1,-2.8,1.8,6.1,-2.8,1.9,1035.69,1024.48,0.42,0,0
BSEC-CLV,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.208,-76.928,208.1,2,161,88,42,69.2,1,4.3,-7.5,-2.3,6.5,0,0.1,7.2,0,0.3,-5.5,-9.3,-7.5,4.3,-7.5,-2.3,4.3,-7.5,-2.3,1039.69,1032.98,-0.1,0,0
BSEC-CLV,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.208,-76.928,108.3,1,115,99,79,92.4,1,2.1,-4.5,-0.4,11.2,0,0.6,23.8,0,1.1,2,-6.2,-1.5,2.1,-4.5,-0.5,2.1,-4.5,-0.4,1033.29,1013.82,-0.75,10.8,24.41
BSEC-CLV,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.208,-76.928,199.2,1,185,99,62,81,1,8.5,-0.7,3.7,9.7,0,1,18.4,0,1.7,3.6,-1.6,0.5,8.5,-0.7,3.7,8.5,-0.7,3.7,1030.72,1014.19,0.67,1.8,0.3
BSEC-CLV,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.208,-76.928,218.4,2,173,92,43,69.3,1,8.7,-2.4,3.4,6.5,0,0.4,9.4,0,0.7,-0.2,-3.8,-2.1,8.7,-2.4,3.4,8.7,-2.4,3.4,1041.31,1030.31,0.36,0,0
BSEC-CLV,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.208,-76.928,25.5,0,99,99,86,95.6,1,13.8,-1.2,6.4,15.1,0,2.2,22,0,3.5,13.3,-2.8,5.8,13.8,-1.2,6.3,13.8,-1.2,6.4,1039.01,995.6,-1.8,21.01,78
BSEC-CLV,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.208,-76.928,149.3,1,176,96,45,61.7,1,12.7,4.2,7.4,10.4,0,1.5,20.2,0,2.7,12.1,-3.1,0.3,12.7,3.6,7.4,12.7,4.2,7.4,1019.61,995.8,0.99,1.19,0.2
BSEC-CLV,America/New_York,2024-01-12 00:00:00,01/11/2024,1705035540,39.208,-76.928,235.5,2,156,93,44,69.5,1,10,-2.1,3.6,6.8,0,0.4,11.2,0,0.7,-0.4,-3.4,-1.8,10,-2.1,3.6,10,-2.1,3.6,1028.51,1019.3,0.37,0,0
BSEC-CLV,America/New_York,2024-01-13 00:00:00,01/12/2024,1705121940,39.208,-76.928,215.4,2,101,99,51,81.8,1,11.2,-3.9,3.5,13.7,0,1.5,18.4,0,2.5,11.1,-4.3,0.4,11.2,-3.9,3.5,11.2,-3.9,3.5,1032.31,1005.89,-0.95,16.79,16.99
