stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-CMN,America/New_York,2024-08-27 00:00:00,08/26/2024,1724731140,39.307149,-76.695379,0,0,212,99,99,99,-1,21.9,20.9,21.3,0,0,0,0,0,0,21.7,20.7,21.1,21.9,20.9,21.3,22.7,20.9,22,1012.9,1012.29,0.09,0,8.1
BSEC-CMN,America/New_York,2024-08-28 00:00:00,08/27/2024,1724817540,39.307149,-76.695379,782.5,7,227,99,43,76.3,0,33.2,17.9,24.6,3.6,0,0.3,5.4,0,0.5,24,17.6,19.5,33.2,17.9,24.6,37,17.9,25.5,1013.51,1010.09,-0.09,1.8,0.3
BSEC-CMN,America/New_York,2024-08-29 00:00:00,08/28/2024,1724903940,39.307149,-76.695379,842.7,8,244,97,46,76.4,1,35.9,20,26.9,4,0,0.3,5.4,0,0.6,25.9,18.2,22,35.9,20,26.9,44.2,20,29.8,1011.21,1007.69,-0.02,0,0
BSEC-CMN,America/New_York,2024-08-30 00:00:00,08/29/2024,1724990340,39.307149,-76.695379,1182.1,11,226,97,65,84.8,0,31.3,20.4,25.3,6.1,0,0.6,9.4,0,1.1,25.6,19.7,22.4,31.3,20.4,25.3,38,20.4,27.2,1016.9,1010.19,0.28,1.8,0.99
BSEC-CMN,America/New_York,2024-08-31 00:00:00,08/30/2024,1725076740,39.307149,-76.695379,255.4,2,254,99,86,95.2,1,22.8,19.5,20.8,4,0,0.2,5.4,0,0.3,21.2,19.1,20,22.8,19.5,20.8,23.5,19.5,21,1016.9,1014.39,-0.09,1.8,2.31
BSEC-CMN,America/New_York,2024-09-01 00:00:00,08/31/2024,1725163140,39.307149,-76.695379,922.3,8,240,99,74,91.1,0,27.4,20,22.7,5.4,0,0.2,9.4,0,0.3,23.4,19.6,21.1,27.4,20,22.7,30.3,20,23.2,1015.1,1007.59,-0.29,1.8,0.2
BSEC-CMN,America/New_York,2024-09-02 00:00:00,09/01/2024,1725249540,39.307149,-76.695379,940.2,9,220,99,62,86,0,30.5,19.4,24,4.7,0,0.2,7.2,0,0.4,24.2,19.2,21.3,30.5,19.4,24,35.2,19.4,25.2,1007.99,1004.1,-0.09,1.8,0.3
BSEC-CMN,America/New_York,2024-09-03 00:00:00,09/02/2024,1725335940,39.307149,-76.695379,737.3,7,299,98,38,66.3,1,27.2,16.2,21.8,7.9,0,0.9,13,0,1.5,21.4,9.2,14.7,27.2,16.2,21.8,27.1,16.2,21.9,1016.09,1005.59,0.42,0,0
BSEC-CMN,America/New_York,2024-09-04 00:00:00,09/03/2024,1725422340,39.307149,-76.695379,705.9,6,289,91,34,61.8,1,25.4,11.3,17.5,10.1,0,0.7,13,0,1.1,11.9,6.8,9.4,25.4,11.3,17.5,25.1,11.3,17.3,1021.3,1015.92,0.2,0,0
BSEC-CMN,America/New_York,2024-09-05 00:00:00,09/04/2024,1725508740,39.307149,-76.695379,702.9,6,229,98,39,71.3,1,26,10.6,17.8,5.8,0,0.4,7.2,0,0.7,14.7,9.3,11.7,26,10.6,17.8,25.9,10.6,17.6,1024.01,1020.69,0.05,0,0
