stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-COV2,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.479054,-76.705892,107.5,1,61,99,80,92.4,1,5.3,0.5,2.7,2.9,0,0,3.6,0,0.1,3.1,0.2,1.5,5.3,0.5,2.7,5.3,0.5,2.7,1009.11,1003.89,0.15,1.8,0.51
BSEC-COV2,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.479054,-76.705892,634.6,6,56,94,53,78.2,0,7.1,-2.1,1.9,4,0,0.3,7.2,0,0.5,1.3,-3.9,-1.6,7.1,-2.1,1.9,7.1,-2.1,1.9,1011.72,1007.42,-0.04,0,0
BSEC-COV2,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.479054,-76.705892,305.9,2,114,92,50,76.2,0,8.2,-3.4,1.4,12.2,0,0.3,13,0,0.5,0,-4.6,-2.6,8.2,-3.4,1.4,8.2,-3.4,1.4,1009.01,1004.61,-0.13,0,0
BSEC-COV2,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.479054,-76.705892,233.4,2,62,88,47,71.6,0,5.9,-3.2,1.2,4.3,0,0.2,5.4,0,0.4,0.4,-7.6,-3.5,5.9,-3.2,1.2,5.9,-3.2,1.2,1013.99,1003.29,0.36,0,0
BSEC-COV2,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.479054,-76.705892,308.3,3,136,87,45,69.5,0,4.6,-7.3,-2.2,13.7,0,0.4,14.8,0,0.7,-5.3,-9.3,-7.3,4.6,-7.3,-2.2,4.6,-7.3,-2.2,1017.91,1011.51,-0.07,0,0
BSEC-COV2,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.479054,-76.705892,62,0,77,99,75,92.1,1,1.1,-3.8,-0.8,15.5,0,1.6,22,0,2.2,1,-6.1,-1.9,1.1,-4,-1.1,1.1,-3.8,-0.8,1011.79,992.52,-0.77,10.8,17.5
BSEC-COV2,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.479054,-76.705892,225.7,2,110,99,75,88.3,0,7.1,-0.2,2.6,5.4,0,0.2,9.4,0,0.4,4.9,-1.6,0.8,7.1,-0.2,2.6,7.1,-0.2,2.6,1009.11,992.79,0.66,0,0
BSEC-COV2,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.479054,-76.705892,593.6,5,78,89,48,73.5,0,9.4,-0.2,3.1,7.6,0,0.4,9.4,0,0.6,0.7,-3,-1.4,9.4,-0.2,3.1,9.4,-0.2,3.1,1020.29,1009.21,0.37,0,0
BSEC-COV2,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.479054,-76.705892,39,0,210,99,83,95.4,1,13,-0.5,6,27.7,0,4.3,42.1,0,6.3,12.7,-2.2,5.4,13,-0.5,5.8,13,-0.5,6,1018.08,975.42,-1.77,18.01,82.3
BSEC-COV2,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.479054,-76.705892,427.6,4,214,99,53,68.6,0,12.4,3.2,6.6,18.7,0,2.3,23.8,0,3.6,12.2,-2.2,1.1,12.4,2.8,6.5,12.4,3.2,6.6,998.21,975.31,0.92,0,0
