stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-COV,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.479,-76.706,87.3,0,10,97,81,90.9,1,4.7,1.3,2.8,7.2,0,1.9,9.4,0,2.5,2.5,0.7,1.4,4.7,-0.2,2.8,4.7,1.3,2.8,1016.39,1011.11,0.18,0,0
BSEC-COV,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.479,-76.706,273.8,2,15,90,60,75.9,1,4.4,-0.9,2,12.6,0,3.4,16.6,0,4.4,1.1,-4.1,-1.9,4.4,-2.9,1.5,4.4,-0.9,2,1018.9,1014.6,-0.04,0,0
BSEC-COV,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.479,-76.706,268.7,2,347,87,54,74.8,1,6.3,-2.3,1.5,7.9,0,0.7,9.4,0,1.2,-0.9,-4.3,-2.6,6.3,-2.3,1.5,6.3,-2.3,1.5,1016.09,1011.79,-0.13,0,0
BSEC-COV,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.479,-76.706,113.9,1,11,86,49,67.4,1,4.6,-2.5,1.7,14.4,0,3.6,20.2,0,4.7,-0.6,-7.6,-3.8,4.6,-5.3,1.1,4.6,-2.5,1.7,1021.61,1010.6,0.38,0,0
BSEC-COV,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.479,-76.706,245.8,2,8,80,48,67.1,1,3,-6.1,-2,8.3,0,1.6,11.2,0,2.1,-5.5,-9.2,-7.4,3,-7.7,-2.1,3,-6.1,-2,1025.4,1019.2,-0.06,0,0
BSEC-COV,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.479,-76.706,47.8,0,329,99,72,90.5,1,1.1,-2.9,-0.5,9.4,0,1.8,13,0,2.6,1,-5.9,-1.9,1.1,-2.9,-0.7,1.1,-2.9,-0.5,1019.3,1000.1,-0.78,7.8,2.79
BSEC-COV,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.479,-76.706,186.4,1,2,99,73,86.5,1,5.6,0.1,2.8,13,0,2.9,16.6,0,3.9,3.2,-1.4,0.6,5.6,-2,2.6,5.6,0.1,2.8,1016.49,1000.2,0.66,0,0
BSEC-COV,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.479,-76.706,274.5,2,10,83,52,71.2,1,7,0.8,3.3,13.7,0,2.7,18.4,0,3.5,-0.3,-2.9,-1.5,7,-0.3,3.1,7,0.8,3.3,1027.6,1016.19,0.37,0,0
BSEC-COV,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.479,-76.706,26.9,0,221,99,83,95.4,1,12.9,0.8,6.1,23,0,4.6,33.1,0,6.2,12.7,-1.5,5.5,12.9,0.3,6,12.9,0.8,6.1,1025.2,982.19,-1.79,19.81,87.6
BSEC-COV,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.479,-76.706,257.7,2,326,99,53,66.1,1,12.4,3.9,6.9,14.8,0,3.2,20.2,0,4.6,12.2,-2.1,0.8,12.4,2.8,6.7,12.4,3.9,6.9,1005.49,982.09,0.95,0,0
BSEC-COV,America/New_York,2024-01-12 00:00:00,01/11/2024,1705035540,39.479,-76.706,258.4,2,273,75,48,64.2,1,9.4,2.2,5.1,9.4,0,1.4,13,0,1.9,0,-2.3,-1.2,9.4,1.4,5,9.4,2.2,5.1,1014.8,1005.22,0.4,0,0
BSEC-COV,America/New_York,2024-01-13 00:00:00,01/12/2024,1705121940,39.479,-76.706,236.8,2,317,99,53,76.8,1,10.4,-1.3,4.8,15.8,0,2.9,20.2,0,4.1,10.2,-2.8,0.9,10.4,-1.3,4.5,10.4,-1.3,4.8,1019,992.79,-0.91,15.6,16.99
BSEC-COV,America/New_York,2024-01-14 00:00:00,01/13/2024,1705208340,39.479,-76.706,337,3,280,99,46,75.7,1,11.5,-1.4,5.6,18.4,0,3.3,25.6,0,4.6,11.3,-7.4,1.3,11.5,-2.6,5.3,11.5,-1.4,5.6,1007.79,987.91,0.63,4.19,3.51
BSEC-COV,America/New_York,2024-01-15 00:00:00,01/14/2024,1705294740,39.479,-76.706,255.3,2,284,95,28,59.3,1,3.9,-4.7,-1.4,16.9,0,3,23.8,0,4,-1.2,-16,-8.9,3.9,-6,-1.9,3.9,-4.7,-1.4,1019.2,1006.5,0.46,0,0
BSEC-COV,America/New_York,2024-01-16 00:00:00,01/15/2024,1705381140,39.479,-76.706,76.7,0,314,96,44,81.4,1,-3.8,-5.6,-4.5,4.7,0,0.6,5.4,0,0.9,-4.8,-14.5,-7.5,-3.8,-5.6,-4.5,-3.8,-5.6,-4.5,1021.81,1015,-0.17,0,0
BSEC-COV,America/New_York,2024-01-17 00:00:00,01/16/2024,1705467540,39.479,-76.706,23.5,0,298,98,67,86.3,1,-3.3,-10.1,-5.3,0,0,0,0,0,0,-3.5,-14.4,-7.3,-3.3,-10.1,-5.3,-3.3,-10.1,-5.3,1015.31,1005.69,-0.13,0,0
BSEC-COV,America/New_York,2024-01-18 00:00:00,01/17/2024,1705553880,39.479,-76.706,133.7,1,301,80,34,56.5,1,-3.6,-13.5,-8.5,9.4,0,1.2,16.6,0,1.7,-14.2,-18,-15.9,-3.9,-15.9,-8.6,-3.6,-13.5,-8.5,1018.08,1011.79,0.23,0,0
BSEC-COV,America/New_York,2024-01-19 00:00:00,01/18/2024,1705640340,39.479,-76.706,48.4,0,233,76,45,60.5,1,0,-9.2,-3.9,6.8,0,0.6,9.4,0,0.8,-6.1,-15.5,-10.5,0,-9.2,-3.9,0,-9.2,-3.9,1019.81,1011.11,-0.28,0,0
BSEC-COV,America/New_York,2024-01-20 00:00:00,01/19/2024,1705726740,39.479,-76.706,46.2,0,324,97,68,90,1,-2.3,-5.8,-3.4,5.4,0,0.3,5.4,0,0.4,-3.1,-7.6,-4.9,-2.3,-6.4,-3.4,-2.3,-5.8,-3.4,1011.31,1003.79,0,0,0
BSEC-COV,America/New_York,2024-01-21 00:00:00,01/20/2024,1705813140,39.479,-76.706,338.7,3,19,86,51,64.7,1,-4.8,-9.1,-7.1,21.6,0,4.3,29.5,0,5.8,-6.8,-14.7,-12.7,-4.8,-14.2,-8.6,-4.8,-9.1,-7.1,1020.22,1011.01,0.38,0,0
BSEC-COV,America/New_York,2024-01-22 00:00:00,01/21/2024,1705899540,39.479,-76.706,291.5,2,5,72,53,64.7,1,-0.8,-8.1,-4.6,17.3,0,4.7,23.8,0,6.3,-8.7,-13.1,-10.3,-0.8,-12.6,-6.2,-0.8,-8.1,-4.6,1031.7,1019.91,0.47,0,0
BSEC-COV,America/New_York,2024-01-23 00:00:00,01/22/2024,1705985940,39.479,-76.706,275.8,2,282,81,40,61.5,1,2.7,-9.3,-2.9,7.2,0,1.2,9.4,0,1.7,-6.8,-12,-9.6,2.7,-9.3,-2.9,2.7,-9.3,-2.9,1032.92,1028.31,-0.11,0,0
BSEC-COV,America/New_York,2024-01-24 00:00:00,01/23/2024,1706072340,39.479,-76.706,206.7,2,228,71,36,57.2,1,8.7,-2.7,2.4,5.4,0,0.5,5.4,0,0.7,-1.5,-8.2,-5.4,8.7,-2.7,2.4,8.7,-2.7,2.4,1029.39,1026.99,0,1.8,0.79
BSEC-COV,America/New_York,2024-01-25 00:00:00,01/24/2024,1706158740,39.479,-76.706,128.3,1,219,99,62,87,1,5.2,1.3,3.4,6.1,0,0.4,7.2,0,0.7,4.9,-4.3,1.3,5.2,1.3,3.4,5.2,1.3,3.4,1029.09,1019.81,-0.37,0,0
BSEC-COV,America/New_York,2024-01-26 00:00:00,01/25/2024,1706245140,39.479,-76.706,109.6,1,233,99,97,99,1,15.8,4.1,11.9,6.1,0,0.6,9.4,0,1,15.6,4,11.7,15.8,4.1,11.9,15.8,4.1,11.9,1019.91,1015.21,-0.19,4.19,5.79
BSEC-COV,America/New_York,2024-01-27 00:00:00,01/26/2024,1706331540,39.479,-76.706,293.4,2,260,99,57,81.5,1,22.4,11.5,15.9,9.4,0,1.7,11.2,0,2.3,18.5,7.6,12.4,22.4,11.5,15.9,22.2,11.5,15.9,1016.29,1010.6,0.04,1.8,1.8
BSEC-COV,America/New_York,2024-01-28 00:00:00,01/27/2024,1706417940,39.479,-76.706,348.5,3,26,98,67,83.3,1,12.7,5.3,9.5,8.3,0,0.9,11.2,0,1.3,8.1,5,6.7,12.7,3.8,9.5,12.7,5.3,9.5,1020.79,1014.8,-0.04,3,0.79
BSEC-COV,America/New_York,2024-01-29 00:00:00,01/28/2024,1706504340,39.479,-76.706,219.1,2,181,99,96,98.7,1,5.4,3.3,4.2,9.7,0,1.8,13,0,2.6,5.2,2.7,4.1,5.4,1,4.2,5.4,3.3,4.2,1015.31,1000.61,-0.52,10.8,7.11
BSEC-COV,America/New_York,2024-01-30 00:00:00,01/29/2024,1706590740,39.479,-76.706,394.1,3,23,96,64,77.7,1,5.2,3.1,3.8,24.8,1.1,7,33.1,1.8,8.9,2.7,-1.5,0.2,5.1,-1.2,2.4,5.2,3.1,3.8,1016.49,1002.61,0.57,0,0
BSEC-COV,America/New_York,2024-01-31 00:00:00,01/30/2024,1706677140,39.479,-76.706,143,1,295,83,71,78,1,3.2,1.1,1.9,7.9,0,1.5,11.2,0,2.1,-0.6,-2.4,-1.5,3.2,-0.7,1.9,3.2,1.1,1.9,1019.61,1015.92,-0.01,0,0
BSEC-COV,America/New_York,2024-02-01 00:00:00,01/31/2024,1706763540,39.479,-76.706,106.1,1,192,99,82,91.7,1,4.3,-0.2,2,3.2,0,0.2,5.4,0,0.4,2.3,-1.1,0.7,4.3,-0.2,2,4.3,-0.2,2,1017,1014.7,-0.04,0,0
BSEC-COV,America/New_York,2024-02-02 00:00:00,02/01/2024,1706849880,39.479,-76.706,305.6,2,344,99,56,79.2,1,10.6,-1.5,4.8,9,0,0.8,11.2,0,1.3,3,-1.6,1.1,10.6,-1.5,4.8,10.6,-1.5,4.8,1015.51,1008.09,-0.29,0,0
BSEC-COV,America/New_York,2024-02-03 00:00:00,02/02/2024,1706936340,39.479,-76.706,203.7,1,28,99,61,81.1,1,7.5,2.8,5.1,14.8,0,3.5,18.4,0,4.4,4.8,-2.4,1.9,7.4,0.5,4.6,7.5,2.8,5.1,1014.6,1006.3,0.24,1.8,0.51
BSEC-COV,America/New_York,2024-02-04 00:00:00,02/03/2024,1707022740,39.479,-76.706,340.7,3,26,82,47,63.8,1,7.3,-1,3.3,10.1,0,2.7,14.8,0,3.5,-1.6,-4.6,-3.1,7.3,-1.3,3.1,7.3,-1,3.3,1016.09,1013.21,0.01,0,0
BSEC-COV,America/New_York,2024-02-05 00:00:00,02/04/2024,1707109140,39.479,-76.706,330.4,3,27,78,32,55.2,1,9.5,-1.6,3.5,6.5,0,1.2,9.4,0,1.6,-3.1,-7.8,-5.2,9.5,-1.6,3.5,9.5,-1.6,3.5,1015,1009.58,-0.18,0,0
BSEC-COV,America/New_York,2024-02-06 00:00:00,02/05/2024,1707195540,39.479,-76.706,314.6,3,32,77,49,63.2,1,8,-0.5,2.8,6.5,0,2,9.4,0,2.7,-1.1,-6.1,-3.6,8,-1.2,2.8,8,-0.5,2.8,1013.72,1009.11,0.16,0,0
BSEC-COV,America/New_York,2024-02-07 00:00:00,02/06/2024,1707281940,39.479,-76.706,293.6,2,37,81,36,61.6,1,5.1,-2.2,0.7,9.4,0,1.6,13,0,2.2,-3.1,-9.5,-6.3,5.1,-3.8,0.6,5.1,-2.2,0.7,1020.59,1013.41,0.28,0,0
