stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-CRC,America/New_York,2024-07-19 00:00:00,07/18/2024,1721361480,39.306753,-76.586269,818.6,7,44,69,47,59.1,-1,29.8,25,27.5,5.4,0,1.1,9.4,0,1.7,20.5,17.2,18.7,29.8,25,27.5,31.1,25.4,28.5,1015.61,1012.5,0.17,0,4.29
BSEC-CRC,America/New_York,2024-07-20 00:00:00,07/19/2024,1721447880,39.306753,-76.586269,774.7,7,131,76,42,56.2,1,29.5,21.3,26.1,11.5,0,2.2,14.8,0,3.3,19.2,13.4,16.3,29.5,21.3,26.1,29.6,21.3,26.3,1020.39,1015.21,0.16,0,0
BSEC-CRC,America/New_York,2024-07-21 00:00:00,07/20/2024,1721534340,39.306753,-76.586269,780.4,7,185,82,47,71.5,1,29.8,23.8,26,15.1,0,2.8,20.2,0,4,22.3,16.4,20.3,29.8,23.8,26,32.2,24.3,26.9,1019.71,1015.71,-0.15,0,0
BSEC-CRC,America/New_York,2024-07-22 00:00:00,07/21/2024,1721620740,39.306753,-76.586269,898,8,205,87,51,68.7,1,31.6,22.3,27.1,11.9,0,2.2,16.6,0,3.2,23.1,18.9,20.5,31.6,22.3,27.1,34.7,22.8,28.6,1017.2,1014.7,0.05,0,0
BSEC-CRC,America/New_York,2024-07-23 00:00:00,07/22/2024,1721707140,39.306753,-76.586269,291.9,2,176,96,70,84.2,1,26.9,21.2,24.9,14,0,1.8,22,0,2.8,23.5,19.1,22,26.9,21.2,24.9,29.4,21.7,25.8,1017.31,1013.31,-0.15,53.39,20.09
BSEC-CRC,America/New_York,2024-07-24 00:00:00,07/23/2024,1721793480,39.306753,-76.586269,808.7,7,265,95,48,72.1,1,31.3,22.4,26.5,9.7,0,2.4,13,0,3.4,23.2,18.2,20.7,31.3,22.4,26.5,33.2,23,27.9,1018.8,1013.31,0.22,1.19,0.2
BSEC-CRC,America/New_York,2024-07-25 00:00:00,07/24/2024,1721879940,39.306753,-76.586269,771.9,7,186,90,63,81,1,30.8,24.1,26.3,8.6,0,1,13,0,1.6,24.5,21.6,22.7,30.8,24.1,26.3,35.4,24.8,28.1,1019.1,1016.59,-0.02,1.8,0.3
BSEC-CRC,America/New_York,2024-07-26 00:00:00,07/25/2024,1721966340,39.306753,-76.586269,864.3,8,291,87,53,72.6,1,30.3,24.7,26.8,7.9,0,1.2,11.2,0,1.9,22.7,18.4,21.2,30.3,24.7,26.8,33,25.5,28.1,1019,1016.39,0.01,0,0
BSEC-CRC,America/New_York,2024-07-27 00:00:00,07/26/2024,1722052740,39.306753,-76.586269,767.3,7,48,83,37,54.5,1,29.6,22,25.3,10.1,0,1.3,13,0,2.1,21.3,12.3,15.1,29.6,22,25.3,29.1,21.8,25.3,1021.3,1017.61,0.06,0,0
BSEC-CRC,America/New_York,2024-07-28 00:00:00,07/27/2024,1722139140,39.306753,-76.586269,902.7,8,356,71,34,49.7,1,31.4,20.4,26.2,9,0,1,13,0,1.7,16.4,12.4,14.4,31.4,20.4,26.2,30.9,20.4,26,1020.79,1018.02,0.01,0,0
