stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-GBWM,America/New_York,2024-08-02 00:00:00,08/01/2024,1722571140,39.311909,-76.595633,584.2,5,183,66,46,57.3,-1,36,30.1,32.1,11.9,0.4,4.2,14.8,1.8,5.7,23.4,21.9,22.6,36,30.1,32.1,41.6,34.3,36.5,1011.79,1010.3,-0.01,0,0
BSEC-GBWM,America/New_York,2024-08-03 00:00:00,08/02/2024,1722657540,39.311909,-76.595633,934.5,9,182,96,41,72.9,1,37.6,23.1,29.3,16.2,0,3.4,20.2,0,4.7,26,21.6,23.5,37.6,23.1,29.3,46.7,23.9,33.2,1011.72,1004.81,-0.13,89.99,53.59
BSEC-GBWM,America/New_York,2024-08-04 00:00:00,08/03/2024,1722743940,39.311909,-76.595633,1114,10,211,98,50,85.1,1,35,21.8,25.9,17.3,0,1.9,22,0,2.7,25.9,19.9,22.9,35,21.8,25.9,42.8,22.5,28,1009.89,1004.61,0.06,0,0.2
BSEC-GBWM,America/New_York,2024-08-05 00:00:00,08/04/2024,1722830340,39.311909,-76.595633,390.5,3,35,97,63,82.1,1,31.5,22.7,26.4,6.1,0,0.1,18.4,0,0.2,27.3,21.1,22.9,31.5,22.7,26.4,41.3,23.5,28.9,1014.9,1009.52,0.19,0,0
BSEC-GBWM,America/New_York,2024-08-06 00:00:00,08/05/2024,1722916620,39.311909,-76.595633,432.4,4,33,97,44,80,1,37.2,22.4,27,5.8,0,0.2,7.2,0,0.4,26.4,21.6,22.9,37.2,22.4,27,45,23.2,29.7,1015.71,1012.6,-0.04,0,0
BSEC-GBWM,America/New_York,2024-08-07 00:00:00,08/06/2024,1723003140,39.311909,-76.595633,391.6,3,32,91,55,80.1,0,36.2,23.3,27.2,10.1,0,0.4,13,0,0.9,27.3,19.6,23.3,36.2,23.3,27.2,48,23.8,30.4,1013.41,1008.2,-0.05,0,0
BSEC-GBWM,America/New_York,2024-08-08 00:00:00,08/07/2024,1723089540,39.311909,-76.595633,1050.5,10,97,97,63,87,1,31.3,21.7,25.2,14.8,0,1.9,22,0,2.8,24.9,20.8,22.7,31.3,21.7,25.2,37.6,22.4,27.2,1012.19,1008.7,-0.02,7.8,3.1
BSEC-GBWM,America/New_York,2024-08-09 00:00:00,08/08/2024,1723175880,39.311909,-76.595633,509,4,117,98,83,93.2,1,26.5,21.6,24.3,9.4,0,2.7,13,0,4.1,24.9,20.8,23.1,26.5,21.6,24.3,29.1,22.3,25.5,1013,1009.58,-0.09,22.81,17.5
BSEC-GBWM,America/New_York,2024-08-10 00:00:00,08/09/2024,1723262340,39.311909,-76.595633,529.6,5,159,94,82,88.3,1,27.7,24.6,26.3,25.2,0,6.6,36.7,0,9.5,25.1,23.2,24.2,27.7,24.6,26.3,32,25.5,28.8,1009.89,1003.89,0.01,6.6,5.41
BSEC-GBWM,America/New_York,2024-08-11 00:00:00,08/10/2024,1723348740,39.311909,-76.595633,930.4,9,358,94,44,65,1,32.2,22.9,27.5,13,0,3.1,16.6,0,4.3,24.4,16,19.8,32.2,22.9,27.5,34.8,23.4,28.5,1013.82,1009.69,0.16,0,0
BSEC-GBWM,America/New_York,2024-08-12 00:00:00,08/11/2024,1723435140,39.311909,-76.595633,931.5,9,349,65,39,52.8,1,29.1,22,24.9,12.2,0,3.6,16.6,0,4.8,16.7,12.4,14.4,29.1,22,24.9,29.3,21.8,24.8,1016.29,1012.8,0.04,0,0
BSEC-GBWM,America/New_York,2024-08-13 00:00:00,08/12/2024,1723521540,39.311909,-76.595633,956.9,9,337,74,36,54.1,1,29.9,19.5,24.4,15.5,0,3.3,18.4,0,4.6,16.2,11.6,14.1,29.9,19.5,24.4,29.7,19.5,24.3,1015.51,1012.9,-0.01,0,0
BSEC-GBWM,America/New_York,2024-08-14 00:00:00,08/13/2024,1723607940,39.311909,-76.595633,873.7,8,5,68,38,55.7,1,29.8,19.6,24,10.4,0,3,13,0,4,16.5,12.8,14.4,29.8,19.6,24,29.7,19.6,24,1016.8,1014.19,0.05,0,0
BSEC-GBWM,America/New_York,2024-08-15 00:00:00,08/14/2024,1723694340,39.311909,-76.595633,760.5,7,7,69,40,56,1,30.1,21.2,25.3,13,0,4.5,16.6,0,5.9,18.7,14.2,15.7,30.1,21.2,25.3,30.3,21.2,25.4,1017.51,1015,0.01,0,0
BSEC-GBWM,America/New_York,2024-08-16 00:00:00,08/15/2024,1723780740,39.311909,-76.595633,743.9,7,6,70,35,55.1,1,31.7,21.1,26,13,0,3.5,14.8,0,4.6,18.8,14.2,16,31.7,21.1,26,31.8,21.1,26.1,1017.51,1014.29,-0.03,0,0
BSEC-GBWM,America/New_York,2024-08-17 00:00:00,08/16/2024,1723867140,39.311909,-76.595633,964.6,9,111,82,43,61.1,1,31.5,19.5,26.1,11.2,0,2.8,14.8,0,3.9,20.6,16.1,17.7,31.5,19.5,26.1,33.2,19.5,26.7,1015.71,1011.99,-0.11,0,0
BSEC-GBWM,America/New_York,2024-08-18 00:00:00,08/17/2024,1723953480,39.311909,-76.595633,879.3,8,151,95,60,84,1,27.5,20.1,23.7,14,0,2.6,16.6,0,3.7,23.3,17.6,20.8,27.5,20.1,23.7,30.3,20.1,24.6,1012.8,1007.42,-0.18,10.8,9.4
BSEC-GBWM,America/New_York,2024-08-19 00:00:00,08/18/2024,1724039880,39.311909,-76.595633,982.5,9,146,97,68,86.5,1,30,20.6,24.3,14.8,0,2.5,20.2,0,3.5,24.8,19.6,21.8,30,20.6,24.3,35.5,20.6,25.9,1008.5,1002.51,-0.17,63.6,46.41
BSEC-GBWM,America/New_York,2024-08-20 00:00:00,08/19/2024,1724126340,39.311909,-76.595633,1015.5,9,118,99,56,77.7,1,29.8,20.4,24.1,16.9,0,3.9,23.8,0,5.2,22,17.2,19.7,29.8,20.4,24.1,32.6,20.4,24.8,1008.09,1002.51,0.15,0,0
BSEC-GBWM,America/New_York,2024-08-21 00:00:00,08/20/2024,1724212740,39.311909,-76.595633,1081.1,10,356,80,43,59.8,1,23.1,16.8,20,16.9,0,6.8,23.8,0,9.1,17.9,8.6,11.7,23.1,16.8,20,22.7,16.8,19.9,1016.39,1007.89,0.34,0,0
BSEC-GBWM,America/New_York,2024-08-22 00:00:00,08/21/2024,1724299140,39.311909,-76.595633,895,8,352,71,34,53.7,1,25,14,19.3,15.5,0,5,22,0,6.7,11.3,7.3,9.3,25,14,19.3,24.5,14,19.1,1019.2,1015.82,0.12,0,0
BSEC-GBWM,America/New_York,2024-08-23 00:00:00,08/22/2024,1724385540,39.311909,-76.595633,902,8,1,77,35,54,1,26.8,14.9,20.6,12.2,0,3,16.6,0,4,13.4,8.4,10.5,26.8,14.9,20.6,26.6,14.9,20.4,1022.49,1018.59,0.14,0,0
BSEC-GBWM,America/New_York,2024-08-24 00:00:00,08/23/2024,1724471940,39.311909,-76.595633,764.7,7,50,84,35,55.9,1,28.5,15,22.1,10.4,0,2,14.8,0,2.8,15.6,9.3,12.2,28.5,15,22.1,28.5,15,21.9,1024.59,1021.61,0.01,0,0
BSEC-GBWM,America/New_York,2024-08-25 00:00:00,08/24/2024,1724558340,39.311909,-76.595633,749.8,7,80,77,45,60,1,29.9,17.7,23.5,11.5,0,2.4,13,0,3.4,18.6,12,15.1,29.9,17.7,23.5,30.4,17.7,23.7,1023.5,1019.71,-0.07,0,0
BSEC-GBWM,America/New_York,2024-08-26 00:00:00,08/25/2024,1724630340,39.311909,-76.595633,699.4,6,154,81,47,61,1,30.4,18.5,24.6,10.4,0,2.4,14.8,0,3.4,20.5,14.1,16.3,30.4,18.5,24.6,32.6,18.5,24.9,1022.49,1018.9,-0.06,0,0
BSEC-GBWM,America/New_York,2024-08-27 00:00:00,08/26/2024,1724731140,39.311909,-76.595633,196.5,1,164,90,54,80.5,-1,31,23.8,25.4,10.1,0,1.5,16.6,0,2.2,23.1,20.6,21.7,31,23.8,25.4,34.7,24.4,26.5,1017.1,1015.31,0.14,0,0.51
BSEC-GBWM,America/New_York,2024-08-28 00:00:00,08/27/2024,1724817480,39.311909,-76.595633,789,7,50,90,42,61.9,1,33.2,21.1,27,9,0,2.6,14.8,0,3.6,21.6,16.9,18.6,33.2,21.1,27,35.5,21.5,27.9,1017.61,1013.88,-0.09,0,0
BSEC-GBWM,America/New_York,2024-08-29 00:00:00,08/28/2024,1724903880,39.311909,-76.595633,821.1,8,144,87,39,62.5,1,36.8,23.6,29.5,13.7,0,2.8,18.4,0,3.9,23.9,17.7,21.2,36.8,23.6,29.5,42.4,24.1,32.2,1014.8,1011.62,-0.04,1.8,0.61
BSEC-GBWM,America/New_York,2024-08-30 00:00:00,08/29/2024,1724990340,39.311909,-76.595633,912.7,8,76,91,66,76.6,1,30.4,21.4,26.6,13.7,0,2.6,18.4,0,3.8,24.5,19.2,22.1,30.4,21.4,26.6,35.7,21.9,28.9,1021.2,1013.61,0.29,0,0
BSEC-GBWM,America/New_York,2024-08-31 00:00:00,08/30/2024,1725076740,39.311909,-76.595633,327.2,3,119,96,78,88.2,1,24.3,19.9,21.8,7.2,0,1.5,11.2,0,2.4,20.7,18.6,19.7,24.3,19.9,21.8,24.8,19.9,22.2,1021.2,1018.39,-0.1,0,0
BSEC-GBWM,America/New_York,2024-09-01 00:00:00,08/31/2024,1725163140,39.311909,-76.595633,704.2,6,142,96,68,82.1,1,28.2,20.6,23.9,9.4,0,1.7,14.8,0,2.6,22.2,19.5,20.5,28.2,20.6,23.9,31,20.6,24.8,1019.2,1011.41,-0.29,0,0
