stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-GKF,America/New_York,2024-04-24 00:00:00,04/23/2024,1713931140,39.2842,-76.76712,369.5,3,188,68,27,57.2,-1,21.7,11.8,14.3,12.6,0,3,16.6,0,4.7,7.2,1.9,5.6,21.7,11.8,14.3,21,11.8,14.3,1010.5,1007.48,-0.39,0,3
BSEC-GKF,America/New_York,2024-04-25 00:00:00,04/24/2024,1714017540,39.2842,-76.76712,931.8,9,325,76,35,54.7,1,22.2,10.9,15.9,17.6,0,2.3,23.8,0,3.5,9.3,3.7,6.3,22.2,10.9,15.9,21.5,10.9,15.8,1014.29,1005.79,0.26,0,0
BSEC-GKF,America/New_York,2024-04-26 00:00:00,04/25/2024,1714103940,39.2842,-76.76712,942.4,9,69,84,50,67.7,1,15.4,7.5,10.6,12.2,0,1.6,14.8,0,2.4,6.9,1.6,4.7,15.4,6,10.6,15.4,7.5,10.6,1022.59,1014.19,0.34,0,0
BSEC-GKF,America/New_York,2024-04-27 00:00:00,04/26/2024,1714190340,39.2842,-76.76712,898.6,8,163,96,27,59.3,1,17.4,2.9,10.5,16.2,0,2.6,20.2,0,3.8,5.5,-4.2,1.5,17.4,2.9,10.4,17.4,2.9,10.5,1026.79,1022.32,0.18,0,0
BSEC-GKF,America/New_York,2024-04-28 00:00:00,04/27/2024,1714276740,39.2842,-76.76712,219.5,2,181,91,49,73.8,1,12.7,9.4,10.9,11.5,0,1.7,16.6,0,2.7,10.3,0.1,6.3,12.7,9.4,10.9,12.7,9.4,10.9,1027.4,1020.69,-0.24,1.8,1.3
BSEC-GKF,America/New_York,2024-04-29 00:00:00,04/28/2024,1714363140,39.2842,-76.76712,746.8,7,268,93,42,69.4,1,29.4,10.4,19.7,11.9,0,1.3,14.8,0,1.9,17.7,9,13.3,29.4,10.4,19.7,29.8,10.4,19.7,1021,1013.11,-0.3,0,0
BSEC-GKF,America/New_York,2024-04-30 00:00:00,04/29/2024,1714449480,39.2842,-76.76712,859.7,8,275,94,34,62.1,1,33.3,15,24.4,14.8,0,1.5,18.4,0,2.2,18.8,13.9,15.9,33.3,15,24.4,33.8,15,24.5,1013.51,1009.21,-0.16,0,0
BSEC-GKF,America/New_York,2024-05-01 00:00:00,04/30/2024,1714535940,39.2842,-76.76712,870,8,287,94,40,61.7,1,30.7,15.8,23.2,16.2,0,2.1,27.7,0,3.1,17.7,12.3,15,30.7,15.8,23.2,31,15.8,23.2,1009.69,1005.22,-0.03,4.8,2.11
BSEC-GKF,America/New_York,2024-05-02 00:00:00,05/01/2024,1714622340,39.2842,-76.76712,909.8,8,320,99,37,69.2,1,28,14.6,21,9.7,0,1.2,16.6,0,1.7,17.9,9.9,14.2,28,14.6,21,27.8,14.6,21,1011.11,1007.32,0.09,3.61,0.2
BSEC-GKF,America/New_York,2024-05-03 00:00:00,05/02/2024,1714708740,39.2842,-76.76712,781.1,7,317,98,36,65,1,32.1,11.9,22.5,13,0,1.4,23.8,0,2.1,17.5,11.6,14.5,32.1,11.9,22.5,32.6,11.9,22.5,1012.19,1008.6,0,0,0
BSEC-GKF,America/New_York,2024-05-04 00:00:00,05/03/2024,1714795140,39.2842,-76.76712,770.2,7,178,87,54,68.8,1,21.3,11.1,17.3,19.1,0,4.2,23.8,0,6.1,15.4,8.3,11.4,21.3,11.1,17.3,21,11.1,17.3,1018.59,1009.99,0.32,0,0
BSEC-GKF,America/New_York,2024-05-05 00:00:00,05/04/2024,1714881540,39.2842,-76.76712,140.4,1,164,99,84,95.6,1,11.3,10,10.5,11.2,0,2.3,14.8,0,3.5,10.7,8.5,9.8,11.3,9.5,10.5,11.3,10,10.5,1019.91,1017.2,0.02,3,10.39
BSEC-GKF,America/New_York,2024-05-06 00:00:00,05/05/2024,1714967880,39.2842,-76.76712,280.3,2,150,99,96,98.3,1,18.5,10.2,14.2,9.7,0,1.7,11.2,0,2.6,18,9.8,13.9,18.5,10.2,14.2,18.5,10.2,14.2,1018.69,1013.61,-0.2,13.79,17.81
