stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-GSA,America/New_York,2024-04-27 00:00:00,04/26/2024,1714190340,39.288437,-76.670979,0,0,130,50,41,47.3,-1,13.4,11.2,11.7,7.9,0.4,2.6,11.2,1.8,4.1,1.3,0.4,0.8,13.4,11.2,11.7,13.4,11.2,11.7,1018.49,1016.9,0.36,0,0
BSEC-GSA,America/New_York,2024-04-28 00:00:00,04/27/2024,1714276740,39.288437,-76.670979,226.7,2,127,85,45,66.9,1,13.5,10,11.6,10.1,0,1.7,16.6,0,2.8,9.9,-0.7,5.5,13.5,10,11.6,13.5,10,11.6,1019,1011.99,-0.25,1.8,1.19
BSEC-GSA,America/New_York,2024-04-29 00:00:00,04/28/2024,1714363140,39.288437,-76.670979,764.2,7,130,91,39,68.2,1,30.1,10.9,19.7,8.6,0,1.2,11.2,0,1.7,18.3,8.9,13.1,30.1,10.9,19.7,30.2,10.9,19.7,1012.39,1003.69,-0.34,0,0
BSEC-GSA,America/New_York,2024-04-30 00:00:00,04/29/2024,1714449420,39.288437,-76.670979,891.2,8,121,92,34,59.1,0,32.8,15.5,24.7,13,0,1.6,16.6,0,2.3,18.3,13.8,15.3,32.8,15.5,24.7,33.4,15.5,24.7,1004,999.7,-0.16,0,0
BSEC-GSA,America/New_York,2024-05-01 00:00:00,04/30/2024,1714535940,39.288437,-76.670979,867.5,8,148,89,36,59.5,1,31.5,14.8,23.6,25.2,0,2.7,31.3,0,3.8,19.5,12.2,14.7,31.5,14.8,23.6,31.5,14.8,23.6,1000.1,995.19,-0.02,5.99,1.3
BSEC-GSA,America/New_York,2024-05-02 00:00:00,05/01/2024,1714622340,39.288437,-76.670979,903,8,322,97,35,65.2,1,29,15.6,21.6,16.2,0,1.7,23.8,0,2.5,16.9,9.8,13.7,29,15.6,21.6,28.5,15.6,21.4,1001.39,997.9,0.07,6.6,0.79
BSEC-GSA,America/New_York,2024-05-03 00:00:00,05/02/2024,1714708740,39.288437,-76.670979,798.7,7,327,98,32,62.2,1,33.4,12.8,23.1,13.7,0,1.5,22,0,2.2,17.6,12.3,14.1,33.4,12.8,23.1,33.2,12.8,22.9,1002.3,998.51,-0.02,0,0
BSEC-GSA,America/New_York,2024-05-04 00:00:00,05/03/2024,1714795140,39.288437,-76.670979,797.4,7,124,81,51,65.3,1,21.6,11.5,17.8,17.3,0,4,22,0,5.9,15.5,8.2,11,21.6,11.5,17.8,21.3,11.5,17.7,1009.58,1000.31,0.36,0,0
BSEC-GSA,America/New_York,2024-05-05 00:00:00,05/04/2024,1714881540,39.288437,-76.670979,120.1,1,123,97,80,92.5,1,11.8,10.6,11,11.5,0,2.2,16.6,0,3.4,10.8,8.3,9.8,11.8,10.6,11,11.8,10.6,11,1011.11,1008.5,0.03,3,8.31
BSEC-GSA,America/New_York,2024-05-06 00:00:00,05/05/2024,1714967940,39.288437,-76.670979,250.3,2,119,98,90,95.7,1,17.6,10.9,13,7.9,0,1.6,13,0,2.6,17,9.5,12.3,17.6,10.9,13,17.6,10.9,13,1010.09,1004.5,-0.22,10.8,17.09
BSEC-GSA,America/New_York,2024-05-07 00:00:00,05/06/2024,1715054340,39.288437,-76.670979,385.8,3,100,99,75,91.8,1,23.4,17.3,19.7,5.4,0,0.3,7.2,0,0.6,19.6,17.1,18.3,23.4,17.3,19.7,23.8,17.3,19.8,1005.01,997.6,-0.28,0,0
BSEC-GSA,America/New_York,2024-05-08 00:00:00,05/07/2024,1715140740,39.288437,-76.670979,948.5,9,122,99,63,89.4,1,26.9,17,20.6,14.8,0,0.7,22,0,1.1,20.9,16.8,18.6,26.9,17,20.6,28.3,17,20.7,997.9,992.31,-0.18,4.19,1.19
BSEC-GSA,America/New_York,2024-05-09 00:00:00,05/08/2024,1715227080,39.288437,-76.670979,999.9,9,75,99,40,73.8,0,30.8,17.3,23.4,15.5,0,1.4,20.2,0,2.1,21.7,12.5,17.6,30.8,17.3,23.4,31.4,17.3,23.6,993.8,988.99,-0.07,1.8,0.3
BSEC-GSA,America/New_York,2024-05-10 00:00:00,05/09/2024,1715313480,39.288437,-76.670979,659.4,6,23,93,50,71.8,1,22.1,14.6,18.1,10.4,0,1.2,16.6,0,1.9,15.4,9.2,12.7,22.1,14.6,18.1,21.8,14.6,18,994.62,990.42,-0.02,1.19,0.2
BSEC-GSA,America/New_York,2024-05-11 00:00:00,05/10/2024,1715399940,39.288437,-76.670979,238.6,2,125,95,73,90.3,1,16.1,9.4,11.9,10.8,0,2.6,14.8,0,3.9,12.4,7.2,10.4,16.1,9.4,11.9,16.1,9.4,11.9,997.8,989.4,0.25,11.99,6.6
BSEC-GSA,America/New_York,2024-05-12 00:00:00,05/11/2024,1715486340,39.288437,-76.670979,1096.5,10,29,96,42,71.1,1,18.5,8.2,12.9,11.9,0,1.8,16.6,0,2.8,10.7,4.6,7.2,18.5,8.2,12.9,18.5,8.2,12.9,998.41,994.79,-0.08,4.8,1.8
BSEC-GSA,America/New_York,2024-05-13 00:00:00,05/12/2024,1715572740,39.288437,-76.670979,1058,10,49,99,53,85.8,1,18.6,7.5,12.7,16.6,0,1.6,22,0,2.3,13.7,7.1,10.1,18.6,7.5,12.6,18.6,7.5,12.7,1003.69,994.68,0.3,18.59,13.89
BSEC-GSA,America/New_York,2024-05-14 00:00:00,05/13/2024,1715659080,39.288437,-76.670979,787,7,139,98,34,72.1,1,25.8,11.5,17.7,11.2,0,1.9,14.8,0,2.9,14.9,7.7,11.8,25.8,11.5,17.7,25.4,11.5,17.6,1005.89,1002,-0.01,0,0
BSEC-GSA,America/New_York,2024-05-15 00:00:00,05/14/2024,1715745540,39.288437,-76.670979,314.5,3,131,98,72,90.8,1,20.3,11.7,15.9,6.8,0,0.9,9.4,0,1.4,17.1,11.3,14.4,20.3,11.7,15.9,20.3,11.7,15.9,1003.29,997.6,-0.22,4.8,5.41
BSEC-GSA,America/New_York,2024-05-16 00:00:00,05/15/2024,1715831940,39.288437,-76.670979,409.1,3,94,97,78,90.2,1,19.3,14.2,16.4,7.9,0,1.1,13,0,1.9,16.6,12.9,14.8,19.3,14.2,16.4,19.3,14.2,16.4,998,992.31,-0.18,1.8,2.01
BSEC-GSA,America/New_York,2024-05-17 00:00:00,05/16/2024,1715918340,39.288437,-76.670979,950,9,326,98,51,72.9,1,25,12.7,19.4,17.6,0,3.3,23.8,0,4.8,16.5,12.3,14,25,12.7,19.4,25,12.7,19.3,997.9,992.42,0.17,0,0
BSEC-GSA,America/New_York,2024-05-18 00:00:00,05/17/2024,1716004740,39.288437,-76.670979,289.1,2,63,86,66,78.4,1,20.3,16.1,17.9,8.6,0,1.1,11.2,0,1.9,15.1,13.1,14,20.3,16.1,17.9,20.3,16.1,17.9,1001.9,997.49,0.15,0,0
BSEC-GSA,America/New_York,2024-05-19 00:00:00,05/18/2024,1716091140,39.288437,-76.670979,282.8,2,140,98,77,89.5,1,19,15.2,16.8,7.2,0,0.5,11.2,0,0.9,16.6,14,15,19,15.2,16.8,19,15.2,16.8,1002.1,999.8,0.01,3.61,6.91
BSEC-GSA,America/New_York,2024-05-20 00:00:00,05/19/2024,1716177540,39.288437,-76.670979,644,6,68,98,63,85.8,1,24.3,15.9,18.8,4.7,0,0.2,5.4,0,0.4,18.4,15.4,16.2,24.3,15.9,18.8,24.4,15.9,18.8,1003.12,1000.71,0.06,0,0
BSEC-GSA,America/New_York,2024-05-21 00:00:00,05/20/2024,1716263940,39.288437,-76.670979,996.1,9,130,98,56,82.6,1,26.9,14.8,19,8.3,0,1.3,11.2,0,2.1,19.3,13.7,15.8,26.9,14.8,19,28,14.8,19,1005.49,1001.9,0,0,0
BSEC-GSA,America/New_York,2024-05-22 00:00:00,05/21/2024,1716350280,39.288437,-76.670979,898.5,8,133,98,49,74.3,1,29.4,13.5,21.5,11.5,0,1.7,14.8,0,2.5,20.7,13.2,16.2,29.4,13.5,21.5,30.5,13.5,21.8,1003.69,1000.41,-0.04,0,0
BSEC-GSA,America/New_York,2024-05-23 00:00:00,05/22/2024,1716436740,39.288437,-76.670979,779.3,7,125,98,55,75.6,1,31.4,14.5,22.7,9.7,0,1.2,13,0,1.9,23,13.9,17.9,31.4,14.5,22.7,35.4,14.5,23.5,1002.71,998,-0.11,0,0
BSEC-GSA,America/New_York,2024-05-24 00:00:00,05/23/2024,1716523140,39.288437,-76.670979,924.2,9,71,96,53,79.8,1,30.5,19.2,23.2,14.4,0,1.1,16.6,0,1.7,22.2,18.2,19.3,30.5,19.2,23.2,32.7,19.2,23.7,1001.08,997.49,-0.01,0,0
BSEC-GSA,America/New_York,2024-05-25 00:00:00,05/24/2024,1716609540,39.288437,-76.670979,1013.4,9,78,97,36,69.5,1,30.6,18.3,23.6,9,0,0.9,13,0,1.5,19,12.6,16.6,30.6,18.3,23.6,31.1,18.3,23.6,999.19,996,-0.05,0,0
BSEC-GSA,America/New_York,2024-05-26 00:00:00,05/25/2024,1716695940,39.288437,-76.670979,826.7,8,129,97,38,63.9,1,31.1,16.7,25.3,12.2,0,1.9,16.6,0,2.8,21.2,13.5,17.2,31.1,16.7,25.3,31.9,16.7,25.6,999.09,995.29,-0.01,0,0
BSEC-GSA,America/New_York,2024-05-27 00:00:00,05/26/2024,1716782280,39.288437,-76.670979,889.8,8,72,98,42,73.5,1,31.8,17.6,24.5,10.4,0,1.7,13,0,2.5,22.1,15,18.9,31.8,17.6,24.5,34.4,17.6,25.2,1000.31,996.82,-0.02,0,0
