stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-JHU,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171480,39.328034,-76.623888,128.9,1,263,90,69,82.1,1,6.9,2.9,4.6,15.8,0,1.6,25.6,0,2.6,2.7,0.8,1.7,6.9,1.9,4.5,6.9,2.9,4.6,1019.4,1013.88,0.17,1.8,0.51
BSEC-JHU,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.328034,-76.623888,282.1,2,276,85,48,69.6,1,6.8,-0.3,3.3,18,0,3,22,0,4.6,1.6,-4.3,-1.9,6.7,-1.6,2.9,6.8,-0.3,3.3,1022.49,1017.81,-0.01,0,0
BSEC-JHU,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.328034,-76.623888,285.3,2,238,98,39,73.8,1,9.9,-3.8,2.3,9.7,0,0.6,13,0,1,-0.2,-4.3,-2.4,9.9,-3.8,2.2,9.9,-3.8,2.3,1019.51,1015,-0.14,0,0
BSEC-JHU,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.328034,-76.623888,172.3,1,273,78,39,59.7,1,6.3,-1.2,3.3,18.4,0,2.8,25.6,0,4.4,-0.2,-8,-3.9,6.3,-3.2,2.9,6.3,-1.2,3.3,1024.99,1013.82,0.4,0,0
BSEC-JHU,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.328034,-76.623888,265.5,2,249,91,38,63.8,1,5.7,-4.7,-0.7,9,0,1,11.2,0,1.6,-3.5,-8.9,-7.1,5.7,-6.1,-0.7,5.7,-4.7,-0.7,1029.29,1022.79,-0.06,0,0
BSEC-JHU,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.328034,-76.623888,117.8,1,205,98,73,89.3,1,3.1,-1.9,1,11.9,0,1.1,18.4,0,1.9,2.8,-4.9,-0.7,3.1,-1.9,0.9,3.1,-1.9,1,1022.99,1002.4,-0.81,7.8,31.19
BSEC-JHU,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.328034,-76.623888,407.8,3,272,98,64,81.1,1,8.4,1.2,4.3,22.3,0,3.7,27.7,0,5.6,3,-0.9,1.1,8.1,-1.4,3.8,8.4,1.2,4.3,1019.51,1003.12,0.66,0,0
BSEC-JHU,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.328034,-76.623888,291.8,2,265,91,38,66.7,1,11.5,-0.4,4.6,14.4,0,1.7,20.2,0,2.7,-0.1,-3.1,-1.5,11.5,-0.4,4.4,11.5,-0.4,4.6,1031.09,1019.51,0.38,0,0
BSEC-JHU,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862680,39.328034,-76.623888,28.5,0,162,99,81,93.1,1,13.8,0.4,7.5,14.4,0,2.2,22,0,3.5,13.6,-1.1,6.4,13.8,0.4,7.4,13.8,0.4,7.5,1028.99,984.69,-1.84,49.2,96.29
BSEC-JHU,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.328034,-76.623888,378.6,3,249,99,44,58.2,1,13.5,5,8.5,23,0,6.2,36.7,0,9.5,13.3,-2.9,0.4,13.5,3.6,7.7,13.5,5,8.5,1008.6,984.39,0.99,1.19,0.2
