stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-LGC,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.326811,-76.677903,87.6,0,80,89,73,82.7,1,5.7,2.5,3.9,6.8,0,0.8,11.2,0,1.4,2.1,0.5,1.2,5.7,1.3,3.9,5.7,2.5,3.9,1017.51,1012.09,0.15,0,0
BSEC-LGC,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.326811,-76.677903,262.7,2,85,85,54,70.8,1,5.6,-0.6,2.6,9.7,0,1.6,16.6,0,2.8,0.9,-4.3,-2.3,5.6,-1.3,2.5,5.6,-0.6,2.6,1020.29,1015.71,-0.03,0,0
BSEC-LGC,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.326811,-76.677903,243.9,2,80,86,46,72.6,0,7.3,-2.6,1.8,7.2,0,0.2,9.4,0,0.4,-0.9,-4.7,-2.8,7.3,-2.6,1.8,7.3,-2.6,1.8,1017.71,1013,-0.14,41.4,8.1
BSEC-LGC,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.326811,-76.677903,206,2,85,77,45,62,1,5.6,-1.4,2.6,11.9,0,1.5,16.6,0,2.6,-0.7,-8.3,-4,5.6,-3.5,2.5,5.6,-1.4,2.6,1022.59,1011.72,0.38,0,0
BSEC-LGC,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.326811,-76.677903,313.9,3,82,85,43,65,1,3.8,-5,-1.6,7.2,0,0.5,9.4,0,0.9,-5.1,-9,-7.5,3.8,-5,-1.6,3.8,-5,-1.6,1026.69,1020.29,-0.08,0,0
BSEC-LGC,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.326811,-76.677903,107.6,1,48,99,73,89.2,1,2.3,-2.8,0.2,11.9,0,1,22,0,1.9,2.1,-5.9,-1.4,2.3,-2.8,0.1,2.3,-2.8,0.2,1020.39,1000.51,-0.77,9.6,30.99
BSEC-LGC,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.326811,-76.677903,269.1,2,98,99,67,82.8,1,7,0.6,3.5,14.8,0,1.9,22,0,3.2,2.6,-1.5,0.7,7,-1.3,3.4,7,0.6,3.5,1017.41,1001.02,0.66,0,0
BSEC-LGC,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.326811,-76.677903,267.8,2,77,91,46,69.9,1,8.4,-0.7,3.4,11.9,0,0.9,22,0,1.6,-0.6,-3.2,-1.8,8.4,-0.7,3.4,8.4,-0.7,3.4,1028.78,1017.61,0.37,0,0
BSEC-LGC,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.326811,-76.677903,27.6,0,65,99,85,94.7,1,12.9,-0.2,6.6,9.7,0,0.8,16.6,0,1.6,12.7,-1.5,5.8,12.9,-0.2,6.6,12.9,-0.2,6.6,1026.58,983.1,-1.81,25.81,82.09
BSEC-LGC,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.326811,-76.677903,207.4,2,122,99,45,60.6,1,12.5,4.4,7.7,22,0,4.6,25.6,0,6.8,12.3,-3,0.3,12.5,3.4,7.1,12.5,4.4,7.7,1006.91,983,0.99,0,0
BSEC-LGC,America/New_York,2024-01-12 00:00:00,01/11/2024,1705035540,39.326811,-76.677903,281.7,2,82,83,44,65.5,1,10.5,0.4,4.5,6.8,0,0.5,11.2,0,0.8,-0.1,-3,-1.6,10.5,0.4,4.5,10.5,0.4,4.5,1015.98,1006.81,0.38,0,0
BSEC-LGC,America/New_York,2024-01-13 00:00:00,01/12/2024,1705121940,39.326811,-76.677903,284.8,2,58,99,55,77.5,1,10.4,-1,4.8,9.7,0,0.5,14.8,0,1,10.2,-2.6,1,10.4,-1,4.8,10.4,-1,4.8,1019.91,994.21,-0.91,21.59,20.29
