stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-LMO,America/New_York,2024-09-13 00:00:00,09/12/2024,1726199940,39.331861,-76.579979,703.7,6,85,88,43,58.7,-1,26.6,18.1,23.4,16.2,0,4.8,20.2,0,6,18.5,12.2,14.5,26.6,18.1,23.4,26.6,18.1,23.3,1019.2,1016.7,-0.04,0,0
BSEC-LMO,America/New_York,2024-09-14 00:00:00,09/13/2024,1726286340,39.331861,-76.579979,832.2,8,319,94,50,77.4,1,27.5,17,21.4,15.5,0,2.7,18.4,0,3.5,19,15.5,17,27.5,17,21.4,28.1,17,21.5,1019.51,1016.39,-0.01,0,0
BSEC-LMO,America/New_York,2024-09-15 00:00:00,09/14/2024,1726372740,39.331861,-76.579979,652.7,6,27,97,32,64.3,1,28.9,16.2,22.5,23.4,0,4.1,27.7,0,5.3,17,10.1,14.6,28.9,16.2,22.5,28.8,16.2,22.5,1019.3,1016.7,0.06,0,0
BSEC-LMO,America/New_York,2024-09-16 00:00:00,09/15/2024,1726459080,39.331861,-76.579979,682.1,6,46,86,44,66.3,1,28.1,15.2,21.5,23.8,0,5.8,29.5,0,7.5,17.7,12.1,14.6,28.1,15.2,21.5,28.1,15.2,21.6,1021.81,1018.59,0.06,0,0
BSEC-LMO,America/New_York,2024-09-17 00:00:00,09/16/2024,1726545540,39.331861,-76.579979,805,7,40,83,54,71.1,1,25.1,15.7,20,19.1,0,5.7,23.8,0,7.6,16.7,12.8,14.4,25.1,15.7,20,25.1,15.7,20,1020.79,1017,-0.13,0,0
BSEC-LMO,America/New_York,2024-09-18 00:00:00,09/17/2024,1726631940,39.331861,-76.579979,931.3,9,25,86,64,78.2,1,26,19.7,22,20.2,0,5.4,27.7,0,7.6,19.6,16.5,18,26,19.7,22,26.4,19.7,22.2,1017.71,1012.9,-0.19,0,0
BSEC-LMO,America/New_York,2024-09-19 00:00:00,09/18/2024,1726718340,39.331861,-76.579979,721.5,7,298,96,73,86.6,1,24.7,19.6,21.4,18.4,0,4.1,22,0,5.6,20.8,17.4,19,24.7,19.6,21.4,25.2,19.6,21.6,1013.11,1008.91,-0.17,11.99,6.91
BSEC-LMO,America/New_York,2024-09-20 00:00:00,09/19/2024,1726804740,39.331861,-76.579979,895.3,8,313,84,28,66,1,29.3,19.3,23.2,18,0,4.4,23.8,0,5.5,19,7.9,15.9,29.3,19.3,23.2,28.9,19.3,23.2,1009.11,1005.11,-0.13,0,0
BSEC-LMO,America/New_York,2024-09-21 00:00:00,09/20/2024,1726884720,39.331861,-76.579979,687.1,6,325,85,38,65.2,1,29.7,18.2,23,16.2,0,2.7,20.2,0,3.5,19,12.9,15.8,29.7,18.2,23,30.1,18.2,23.2,1009.31,1005.69,0.14,0,0
BSEC-LMO,America/New_York,2024-09-22 00:00:00,09/21/2024,1726977540,39.331861,-76.579979,765.4,7,149,87,65,74.9,-1,25.9,20,23.2,17.6,0,5.6,20.2,0,7,19.6,17.2,18.4,25.9,20,23.2,26.3,20,23.5,1013.72,1009.89,-0.12,0,0
BSEC-LMO,America/New_York,2024-09-23 00:00:00,09/22/2024,1727063880,39.331861,-76.579979,877.2,8,98,96,66,84.2,1,23.2,17.7,19.8,20.5,0,4.5,25.6,0,5.8,18.5,15.7,16.9,23.2,17.7,19.8,23.3,17.7,19.8,1014.19,1010.4,0.13,39.6,18.29
