stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-LRT,America/New_York,01/01/2024 05:00,01/01/2024,NaN,39.32623,-76.682453,121,NaN,106.684722222222,87,68,78.2173611111111,NaN,6.2,3.2,4.62375,3.6,0,1.33425,NaN,NaN,NaN,2.20328662641603,0.0758989997725895,1.1207794600797,16.7313666666667,3.95245955539173,8.21992610820277,4.75555555555556,3.01611111111111,3.78988657407408,1004.9,999.7,1002.43256944444,0.00833333333333333,0.2
BSEC-LRT,America/New_York,01/02/2024 05:00,01/02/2024,NaN,39.32623,-76.682453,635,NaN,108.601388888889,82,47,65.6715277777778,NaN,6.9,0.4,3.49701388888889,5.76,0,1.92725,NaN,NaN,NaN,0.945090267843058,-4.77632377533413,-2.5126295946135,16.1098666666667,0.916196009965707,6.69231261078164,4.8988888888889,0.399999999999999,2.93984606481482,1007.8,1003.5,1005.00326388889,0,0
BSEC-LRT,America/New_York,01/03/2024 05:00,01/03/2024,NaN,39.32623,-76.682453,567,NaN,113.640972222222,85,40,66.3958333333333,NaN,9.3,-1.7,3.03076388888889,5.4,0,1.2665,NaN,NaN,NaN,-1.1554467893152,-4.39533637137967,-2.95564645713313,17.2907166666667,-0.0638675365793912,8.84225432177925,7.38222222222223,-1.7,2.35509452160494,1005,1000.7,1002.825,0,0
BSEC-LRT,America/New_York,01/04/2024 05:00,01/04/2024,NaN,39.32623,-76.682453,536,NaN,93.1645833333333,70,39,57.2291666666667,NaN,6.5,-0.9,3.3125,4.32,0,1.70125,NaN,NaN,NaN,-1.17734580647781,-8.68766868782552,-4.47538088170374,15.5505166666667,-0.985404895691807,7.28091147461642,4.4,-0.900000000000001,2.76073418209877,1010.2,999.5,1003.70944444444,0,0
BSEC-LRT,America/New_York,01/05/2024 05:00,01/05/2024,NaN,39.32623,-76.682453,549,NaN,72.7166666666667,73,38,57.7833333333333,NaN,5.3,-4.6,-0.138402777777777,5.4,0,1.10725,NaN,NaN,NaN,-4.81505101017673,-9.26333260164198,-7.71276888775978,15.1154666666667,-4.00566712705146,7.11412025653608,4.4,-4.6,-0.264056327160493,1014.4,1008.2,1011.21888888889,0,0
BSEC-LRT,America/New_York,01/06/2024 05:00,01/06/2024,NaN,39.32623,-76.682453,120,NaN,194.210416666667,98,63,84.4868055555555,NaN,2.9,-0.7,1.1575,3.96,0,1.765,NaN,NaN,NaN,2.61589644241378,-5.99385680695735,-1.29190106943543,14.9290166666667,-0.154580660501284,3.27625398394161,2.9,-0.700000000000001,1.1575,1008.2,988.4,998.536874999999,0.466666666666667,11.2
BSEC-LRT,America/New_York,01/07/2024 05:00,01/07/2024,NaN,39.32623,-76.682453,718,NaN,120.268055555556,98,62,80.1798611111111,NaN,8.3,1.1,4.05180555555556,7.92,0,2.864,NaN,NaN,NaN,2.91622531630244,-1.82996951473356,0.734439389878956,16.4206166666667,0.509196797497901,4.85013291744788,6.90888888888889,1.1,3.32730362654321,1005,988.9,993.974236111111,0,0
BSEC-LRT,America/New_York,01/08/2024 05:00,01/08/2024,NaN,39.32623,-76.682453,549,NaN,91.5888888888889,79,38,61.9416666666667,NaN,10.3,2.2,5.13138888888889,4.32,0,1.43525,NaN,NaN,NaN,-0.599657901508018,-3.6573479260134,-1.91750008318056,19.2795166666667,2.35796521114043,9.64060319423226,8.43000000000001,2.2,4.2664313271605,1016.4,1005,1012.99215277778,0,0
BSEC-LRT,America/New_York,01/09/2024 05:00,01/09/2024,NaN,39.32623,-76.682453,20,NaN,262.420833333333,100,78,92.3263888888889,NaN,13.8,2.5,7.28763888888889,11.16,0,3.95925,NaN,NaN,NaN,13.5455827455569,-0.762755393272803,6.11290612806758,14.9290166666667,2.71194337757838,7.62922127342994,13.7944444444444,2.5,7.11491550925927,1014.3,970.7,995.673680555555,1.39166666666667,33.4
BSEC-LRT,America/New_York,01/10/2024 05:00,01/10/2024,NaN,39.32623,-76.682453,701,NaN,140.953472222222,98,43,57.5951388888889,NaN,13.5,4.9,8.05326388888888,12.96,2.16,6.48625,NaN,NaN,NaN,13.1902844130954,-3.34347527977787,-0.0866230570657106,13.5,4.60795961695843,8.00929221452345,13.4644444444444,3.01222222222222,6.41801890432098,994.2,970.5,982.896944444445,0,0
BSEC-LRT,America/New_York,01/11/2024 05:00,01/11/2024,NaN,39.32623,-76.682453,543,NaN,107.564583333333,77,39,59.0277777777778,NaN,10.8,1.8,5.74541666666666,6.12,0,1.8925,NaN,NaN,NaN,-0.388046754791607,-2.93834157780923,-1.87347012350908,18.3472666666667,2.82190787708982,10.640289879252,8.98000000000001,1.8,4.64161342592592,1003.5,994.2,997.768402777778,0,0
BSEC-LRT,America/New_York,01/12/2024 05:00,01/12/2024,NaN,39.32623,-76.682453,619,NaN,168.680555555556,99,47,73.7493055555556,NaN,11.1,0.1,5.49618055555555,6.12,0,2.36575,NaN,NaN,NaN,10.9487642953896,-2.32557093319368,0.890294994667088,15.8612666666667,3.16466591057902,10.1559420081342,10.8505555555556,0.0999999999999998,4.67862191358025,1007.3,981.7,1000.22645833333,0.291666666666667,7
BSEC-LRT,America/New_York,01/13/2024 05:00,01/13/2024,NaN,39.32623,-76.682453,660,NaN,154.299305555556,100,37,69.0993055555556,NaN,12.1,0.3,6.81819444444445,14.76,0,6.545,NaN,NaN,NaN,11.9475445392394,-8.29473483624908,0.848395002580365,12.1,-0.966607976950416,6.79219407999293,11.9505555555556,0.3,6.14401195987655,996.9,976.6,984.236180555556,0.0416666666666667,1
BSEC-LRT,America/New_York,01/14/2024 05:00,01/14/2024,NaN,39.32623,-76.682453,543,NaN,139.1625,88,21,50.6430555555556,NaN,6,-2.5,0.102291666666667,11.52,0,3.6375,NaN,NaN,NaN,-1.25102875425954,-18.2389813083889,-9.7741073226947,12.6916166666667,-3.36801127496475,1.44686124946796,4.4,-2.5,0.0237878086419754,1008,995.6,1000.56159722222,0,0
BSEC-LRT,America/New_York,01/15/2024 05:00,01/15/2024,NaN,39.32623,-76.682453,98,NaN,100.943055555556,94,29,78.8208333333333,NaN,-2.2,-5,-3.40993055555555,5.04,0,1.177,NaN,NaN,NaN,-3.82596945529346,-18.0506332390771,-7.11007598153114,11.5729166666667,-6.08521658333691,2.40999170721722,-2.2,-5,-3.40993055555555,1010.8,1004,1008.27118055556,0,0
BSEC-LRT,America/New_York,01/16/2024 05:00,01/16/2024,NaN,39.32623,-76.682453,129,NaN,106.599305555556,94,56,79.4770833333333,NaN,-1.1,-8.4,-3.85145833333333,6.48,0,2.023,NaN,NaN,NaN,-2.63443669021238,-14.5610527656512,-7.06637952512299,11.6350666666667,-9.79309893790286,-0.60062567817593,-1.1,-8.4,-3.85145833333333,1004,994.5,998.298680555555,0,0
BSEC-LRT,America/New_York,01/17/2024 05:00,01/17/2024,NaN,39.32623,-76.682453,677,NaN,99.4979166666667,69,31,53.4270833333333,NaN,-2.6,-10.8,-7.19083333333334,9,0,3.022,NaN,NaN,NaN,-12.280208852295,-18.0479891899276,-15.4207336581437,10.2056166666667,-12.7445287505261,-2.87173519668913,-2.6,-10.8,-7.19083333333334,1007.2,1001.1,1004.16180555556,0,0
BSEC-LRT,America/New_York,01/18/2024 05:00,01/18/2024,NaN,39.32623,-76.682453,208,NaN,102.254166666667,73,43,56.75,NaN,0.2,-8.6,-3.03041666666667,3.96,0,0.87625,NaN,NaN,NaN,-5.27919120233745,-14.1403016158739,-10.4927222168027,13.1888166666667,-8.06853125829619,5.28112643444001,0.2,-8.6,-3.03041666666667,1008.9,1000,1005.55798611111,0,0
BSEC-LRT,America/New_York,01/19/2024 05:00,01/19/2024,NaN,39.32623,-76.682453,34,NaN,97.8875,94,65,85.1013888888889,NaN,-0.5,-5.5,-2.11583333333333,3.24,0,0.950000000000001,NaN,NaN,NaN,-2.43346547211685,-7.01796074110223,-4.33769613170657,12.8159166666667,-4.53881697433616,3.90606299417601,-0.499999999999999,-5.5,-2.11583333333333,1000.4,992.7,996.378819444444,0,0
BSEC-LRT,America/New_York,01/20/2024 05:00,01/20/2024,NaN,39.32623,-76.682453,248,NaN,117.475,84,44,58.0041666666667,NaN,-3.6,-8.3,-5.93388888888889,8.64,0,4.055,NaN,NaN,NaN,-6.39105107725857,-15.4899423694209,-13.0023893295149,8.52756666666667,-10.10843953304,-6.33101607053884,-3.6,-8.3,-5.93388888888889,1009.4,1000.2,1004.90673611111,0,0
BSEC-LRT,America/New_York,01/21/2024 05:00,01/21/2024,NaN,39.32623,-76.682453,620,NaN,118.090972222222,72,43,57.5645833333333,NaN,1.3,-7.3,-3.55875,5.76,0,3.19300000000001,NaN,NaN,NaN,-9.11270233561788,-13.9152781973816,-10.8231500072149,10.6406666666667,-9.20036492264865,-3.61766838066199,1.3,-7.3,-3.55875,1020.8,1009.2,1015.73854166667,0,0
BSEC-LRT,America/New_York,01/22/2024 05:00,01/22/2024,NaN,39.32623,-76.682453,613,NaN,81.5541666666667,85,35,60.7472222222222,NaN,4.5,-9,-2.41027777777778,5.4,0,1.2715,NaN,NaN,NaN,-5.1657306515852,-11.4721405441827,-9.39565894195638,13.8103166666667,-8.6033364528356,5.78329499354557,4.3,-9,-2.41205169753087,1022.2,1017.8,1019.79208333333,0.025,0.6
