stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-MSU,America/New_York,2024-09-13 00:00:00,09/12/2024,1726166460,39.347188,-76.582349,528,5,164,90,47,61.7,-1,25.4,18.8,23.8,7.2,0,1.9,9.4,0,3,18.7,12.6,15.8,25.4,18.8,23.8,25.3,18.8,23.8,1021.71,1020.12,-0.13,0,0
BSEC-MSU,America/New_York,2024-09-14 00:00:00,09/13/2024,1726270620,39.347188,-76.582349,288.8,2,307,74,53,61.3,-1,27.4,21.6,25.4,7.6,0,1.4,9.4,0,2,19.1,15.9,17.4,27.4,21.6,25.4,28.1,21.8,25.7,1013.31,1011.31,-0.23,0,0
BSEC-MSU,America/New_York,2024-09-15 00:00:00,09/14/2024,NaN,39.347188,-76.582349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BSEC-MSU,America/New_York,2024-09-16 00:00:00,09/15/2024,NaN,39.347188,-76.582349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BSEC-MSU,America/New_York,2024-09-17 00:00:00,09/16/2024,NaN,39.347188,-76.582349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BSEC-MSU,America/New_York,2024-09-18 00:00:00,09/17/2024,1726631940,39.347188,-76.582349,196.4,1,189,86,68,77.3,-1,25.3,21.3,22.8,9.7,0,2.3,14.8,0,3.4,19.8,17.6,18.6,25.3,21.3,22.8,25.6,21.6,23.1,1013.21,1011.11,-0.2,0,0
BSEC-MSU,America/New_York,2024-09-19 00:00:00,09/18/2024,1726718340,39.347188,-76.582349,402,3,211,96,76,87.4,1,24,19.4,21.2,10.1,0,2.3,13,0,3.4,20.3,17.4,18.9,24,19.4,21.2,24.4,19.4,21.4,1011.31,1007.11,-0.17,9.6,9.91
BSEC-MSU,America/New_York,2024-09-20 00:00:00,09/19/2024,1726804740,39.347188,-76.582349,404.6,3,226,87,33,70,1,28.2,17.9,22.5,15.1,0,2.1,23.8,0,2.9,18.4,10,16.2,28.2,17.9,22.5,28,17.9,22.5,1007.32,1003.39,-0.13,0,0
BSEC-MSU,America/New_York,2024-09-21 00:00:00,09/20/2024,1726891140,39.347188,-76.582349,403,3,190,91,44,73.9,1,28.5,16.3,21.7,10.1,0,0.9,13,0,1.4,18.8,13.7,16.4,28.5,16.3,21.7,29.1,16.3,21.8,1008.6,1003.79,0.18,0,0
BSEC-MSU,America/New_York,2024-09-22 00:00:00,09/21/2024,1726977540,39.347188,-76.582349,463.1,4,139,92,69,78.8,1,25.4,19.1,22.5,11.5,0,1.7,14.8,0,2.5,19.8,17.2,18.6,25.4,19.1,22.5,25.8,19.1,22.8,1009.31,1005.49,-0.07,0,0
