stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-MTE,America/New_York,2024-08-11 00:00:00,08/10/2024,1723348740,39.302364,-76.593743,573.4,5,61,59,45,51.5,-1,33.2,26.1,29.5,11.9,0,1.4,18.4,0,2.3,20,16.5,18.3,33.2,26.1,29.5,35.6,26.2,30.6,1016.49,1013.88,0.26,0,0
BSEC-MTE,America/New_York,2024-08-12 00:00:00,08/11/2024,1723435140,39.302364,-76.593743,782.9,7,58,65,38,53.3,1,30.3,22.2,25.3,13,0,1.6,20.2,0,2.6,17.2,12.8,14.8,30.3,22.2,25.3,30.1,22.1,25.2,1018.8,1015.21,0.04,0,0
BSEC-MTE,America/New_York,2024-08-13 00:00:00,08/12/2024,1723521540,39.302364,-76.593743,834.9,8,69,73,37,54.6,1,30.6,19.8,24.7,11.5,0,1.8,14.8,0,2.8,15.8,12.6,14.5,30.6,19.8,24.7,30.2,19.8,24.6,1017.91,1015.21,-0.01,0,0
BSEC-MTE,America/New_York,2024-08-14 00:00:00,08/13/2024,1723607880,39.302364,-76.593743,761.4,7,41,68,35,56.3,0,33.5,19.7,24.2,7.2,0,0.6,9.4,0,1.1,16.6,13.1,14.7,33.5,19.7,24.2,33.7,19.7,24.2,1019.1,1016.49,0.03,0,0
BSEC-MTE,America/New_York,2024-08-15 00:00:00,08/14/2024,1723694340,39.302364,-76.593743,660.2,6,32,69,36,54.8,0,33.9,21.5,26.3,7.9,0,0.9,11.2,0,1.5,18.4,15.1,16.1,33.9,21.5,26.3,34.8,21.5,26.5,1019.81,1017.61,0.03,0,0
BSEC-MTE,America/New_York,2024-08-16 00:00:00,08/15/2024,1723780740,39.302364,-76.593743,661.9,6,38,71,32,55.2,0,36.3,20.9,26.7,8.3,0,0.6,13,0,1.1,18.9,15.3,16.5,36.3,20.9,26.7,37.7,20.9,27,1020.29,1017.2,-0.02,0,0
BSEC-MTE,America/New_York,2024-08-17 00:00:00,08/16/2024,1723867140,39.302364,-76.593743,882.4,8,136,79,39,60.8,0,35.2,20.4,26.7,9.4,0,0.8,14.8,0,1.4,20.4,16.5,18.1,35.2,20.4,26.7,37.9,20.4,27.5,1018.8,1015,-0.1,0,0
BSEC-MTE,America/New_York,2024-08-18 00:00:00,08/17/2024,1723953480,39.302364,-76.593743,702.6,6,140,94,60,82.3,0,30,20.8,24.4,8.6,0,0.6,11.2,0,1.2,24,17.9,21,30,20.8,24.4,34.8,20.8,25.5,1015.82,1010.7,-0.16,11.99,9.91
BSEC-MTE,America/New_York,2024-08-19 00:00:00,08/18/2024,1724039940,39.302364,-76.593743,834.7,8,144,98,59,84.1,0,33.5,20.9,25,9,0,0.8,13,0,1.4,25.3,20.1,21.9,33.5,20.9,25,41.4,20.9,27,1011.72,1005.69,-0.15,62.41,43.41
BSEC-MTE,America/New_York,2024-08-20 00:00:00,08/19/2024,1724126340,39.302364,-76.593743,902.3,8,74,99,55,78,1,30.1,20.6,24.2,10.4,0,1.8,18.4,0,2.8,21.3,17.3,19.8,30.1,20.6,24.2,32.4,20.6,24.9,1011.21,1005.79,0.13,0,0
