stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-NRP,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.365093,-76.627341,92.7,0,318,95,73,87,1,5.9,1.6,3.7,7.2,0,0.6,9.4,0,1,2.6,0.8,1.7,5.9,1.1,3.6,5.9,1.6,3.7,1002.81,997.6,0.15,1.8,0.51
BSEC-NRP,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.365093,-76.627341,316.7,3,307,92,50,74.9,1,6.6,-1.8,2.3,9.7,0,1.3,18.4,0,2.1,1.5,-4.3,-1.9,6.6,-1.8,2.3,6.6,-1.8,2.3,1005.59,1001.29,-0.03,0,0
BSEC-NRP,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344280,39.365093,-76.627341,308.7,3,336,96,45,78.7,1,8.8,-3.8,1.2,6.5,0,0.3,9.4,0,0.5,0,-4.5,-2.4,8.8,-3.8,1.2,8.8,-3.8,1.2,1003.18,998.71,-0.13,0,0
BSEC-NRP,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.365093,-76.627341,202.2,1,314,87,44,67,1,6.4,-1.8,2.2,10.4,0,1,16.6,0,1.7,0,-7.8,-3.5,6.4,-1.8,2.2,6.4,-1.8,2.2,1008.6,997.19,0.38,0,0
BSEC-NRP,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.365093,-76.627341,313.5,3,323,92,41,68.6,1,4.7,-6,-1.8,8.3,0,0.4,13,0,0.7,-4.1,-9.1,-7.2,4.7,-6,-1.8,4.7,-6,-1.8,1012.7,1006.1,-0.07,0,0
BSEC-NRP,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603540,39.365093,-76.627341,94.4,0,333,99,79,92.3,1,2.4,-2.7,0.1,4.3,0,0.5,5.4,0,0.8,2.2,-5.1,-1,2.4,-2.7,0.1,2.4,-2.7,0.1,1006.3,985.91,-0.81,8.99,26.39
BSEC-NRP,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689940,39.365093,-76.627341,190.6,1,316,99,68,85,0,7.7,0.1,3.4,10.8,0,1.3,14.8,0,2.2,3.4,-1.1,1,7.7,0.1,3.3,7.7,0.1,3.4,1003.01,986.49,0.66,0,0
BSEC-NRP,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.365093,-76.627341,348.2,3,315,96,39,73.2,1,10.9,-1.6,3.2,12.2,0,0.7,14.8,0,1.2,-0.3,-3.2,-1.5,10.9,-1.6,3.2,10.9,-1.6,3.2,1014.7,1002.81,0.4,0,0
BSEC-NRP,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.365093,-76.627341,36.9,0,113,99,87,96,1,12.8,-0.8,6.3,14,0,1,20.2,0,1.8,12.6,-1.5,5.7,12.8,-0.8,6.3,12.8,-0.8,6.3,1012.5,968.71,-1.83,53.39,92.71
BSEC-NRP,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949080,39.365093,-76.627341,426.7,4,2,99,42,63.9,0,12.6,3.6,7.6,14.8,0,2.7,29.5,0,4.2,12.5,-2.8,0.9,12.6,3.6,7.4,12.6,3.6,7.6,992.42,968.61,0.99,1.8,0.3
BSEC-NRP,America/New_York,2024-01-12 00:00:00,01/11/2024,1705035540,39.365093,-76.627341,333.2,3,67,91,41,68.4,1,11.2,0.3,4.4,8.6,0,0.6,14.8,0,0.9,0.4,-2.5,-1.2,11.2,0.3,4.4,11.2,0.3,4.4,1001.39,992.11,0.39,0,0
BSEC-NRP,America/New_York,2024-01-13 00:00:00,01/12/2024,1705121940,39.365093,-76.627341,362.7,3,118,99,49,83,1,10.5,-2.5,3.9,7.6,0,0.7,14.8,0,1.2,10.3,-2.9,0.9,10.5,-2.5,3.9,10.5,-2.5,3.9,1005.32,979.72,-0.9,18.59,21.79
BSEC-NRP,America/New_York,2024-01-14 00:00:00,01/13/2024,1705208340,39.365093,-76.627341,330.2,3,87,99,39,72.6,1,11.5,-0.4,6.4,16.9,0,2.7,22,0,4.3,11.3,-8,1.3,11.5,-2.4,6.2,11.5,-0.4,6.4,994.68,974.3,0.61,7.8,3.51
BSEC-NRP,America/New_York,2024-01-15 00:00:00,01/14/2024,1705294740,39.365093,-76.627341,286.8,2,357,91,22,57.1,1,5.5,-3.6,-0.7,11.5,0,1.6,25.6,0,2.6,-0.8,-17.6,-8.9,5.5,-3.6,-0.9,5.5,-3.6,-0.7,1005.79,993.09,0.46,0,0
BSEC-NRP,America/New_York,2024-01-16 00:00:00,01/15/2024,1705381140,39.365093,-76.627341,55.7,0,313,96,32,80.8,1,-2.9,-5.2,-3.8,7.6,0,0.3,9.4,0,0.6,-4.3,-17.3,-7,-2.9,-6,-3.8,-2.9,-5.2,-3.8,1008.6,1001.9,-0.15,0,0
BSEC-NRP,America/New_York,2024-01-17 00:00:00,01/16/2024,1705467540,39.365093,-76.627341,84.7,0,275,97,66,85.4,1,-1.5,-9.4,-4.4,0,0,0,0,0,0,-2.9,-13.8,-6.6,-1.5,-9.4,-4.4,-1.5,-9.4,-4.4,1002.1,992.31,-0.11,0,0
BSEC-NRP,America/New_York,2024-01-18 00:00:00,01/17/2024,1705553940,39.365093,-76.627341,129.6,1,151,84,33,63.3,1,-2.6,-13.2,-8.3,8.6,0,0.4,11.2,0,0.7,-12.1,-17.5,-14.5,-2.6,-13.2,-8.4,-2.6,-13.2,-8.3,1005.32,998.98,0.24,0,0
BSEC-NRP,America/New_York,2024-01-19 00:00:00,01/18/2024,1705640340,39.365093,-76.627341,44,0,145,85,43,69.6,1,-0.1,-11.1,-4.3,2.9,0,0.1,3.6,0,0.1,-4.4,-13.3,-9.3,-0.1,-11.1,-4.3,-0.1,-11.1,-4.3,1007.11,998,-0.29,0,0
BSEC-NRP,America/New_York,2024-01-20 00:00:00,01/19/2024,1705726740,39.365093,-76.627341,26.2,0,10,96,75,91.6,1,-1.1,-7.1,-2.9,1.1,0,0,1.8,0,0,-2.1,-7.7,-4.1,-1.1,-7.1,-2.9,-1.1,-7.1,-2.9,998.21,990.59,0,0,0
BSEC-NRP,America/New_York,2024-01-21 00:00:00,01/20/2024,1705813140,39.365093,-76.627341,148,1,179,92,46,65.2,1,-3.1,-10,-6.6,12.2,0,1.5,25.6,0,2.4,-6.6,-14.9,-12.2,-3.1,-12.1,-6.9,-3.1,-10,-6.6,1007.32,997.9,0.39,0,0
BSEC-NRP,America/New_York,2024-01-22 00:00:00,01/21/2024,1705899540,39.365093,-76.627341,369.2,3,297,74,45,62.1,1,1,-7.9,-4.1,15.5,0,2.4,23.8,0,3.7,-8.5,-13.4,-10.4,1,-12.2,-4.4,1,-7.9,-4.1,1018.8,1006.91,0.46,1.8,0.51
BSEC-NRP,America/New_York,2024-01-23 00:00:00,01/22/2024,1705985940,39.365093,-76.627341,373.5,3,137,92,37,70.3,1,4,-10.7,-3.9,7.2,0,0.3,11.2,0,0.5,-5,-12.2,-9,4,-10.7,-3.9,4,-10.7,-3.9,1020.39,1015.71,-0.1,1.8,1.6
BSEC-NRP,America/New_York,2024-01-24 00:00:00,01/23/2024,1706072340,39.365093,-76.627341,306.5,2,166,94,40,72.6,0,7.2,-4.9,0.5,3.6,0,0.1,5.4,0,0.1,-2,-6.6,-4.3,7.2,-4.9,0.5,7.2,-4.9,0.5,1016.49,1013.99,0,1.8,1.5
BSEC-NRP,America/New_York,2024-01-25 00:00:00,01/24/2024,1706158740,39.365093,-76.627341,150.9,1,265,98,71,88.7,1,6,0.8,3.4,1.4,0,0,1.8,0,0,4.7,-3.2,1.7,6,0.8,3.4,6,0.8,3.4,1016.09,1006.6,-0.38,0,0
BSEC-NRP,America/New_York,2024-01-26 00:00:00,01/25/2024,1706245140,39.365093,-76.627341,102.9,1,97,99,98,98.9,1,15.5,3.9,9.6,2.2,0,0,3.6,0,0,15.3,3.6,9.5,15.5,3.9,9.6,15.5,3.9,9.6,1006.81,1001.8,-0.2,3,4.8
BSEC-NRP,America/New_York,2024-01-27 00:00:00,01/26/2024,1706331540,39.365093,-76.627341,426.7,4,134,99,58,90.1,1,23.6,7.3,14.3,7.6,0,0.4,11.2,0,0.6,19.1,7.1,12.4,23.6,7.3,14.3,23.6,7.3,14.3,1003.01,997.29,0.04,5.99,1.8
BSEC-NRP,America/New_York,2024-01-28 00:00:00,01/27/2024,1706417940,39.365093,-76.627341,487.5,4,325,99,62,87.4,1,14.6,4,8.6,5.4,0,0.2,7.2,0,0.4,9.5,3.9,6.4,14.6,4,8.6,14.6,4,8.6,1007.32,1001.9,-0.02,3.61,0.99
BSEC-NRP,America/New_York,2024-01-29 00:00:00,01/28/2024,1706504340,39.365093,-76.627341,197.6,1,8,99,96,98.3,1,6.4,3.9,4.9,3.6,0,0.3,5.4,0,0.5,6.1,3.5,4.6,6.4,3.9,4.9,6.4,3.9,4.9,1002.4,987.2,-0.56,10.8,32.79
BSEC-NRP,America/New_York,2024-01-30 00:00:00,01/29/2024,1706590740,39.365093,-76.627341,490.3,4,311,97,59,75,1,7.1,3.3,4.5,11.2,0,2.1,20.2,0,3.3,3.5,-1.7,0.3,7.1,1.4,4.4,7.1,3.3,4.5,1003.39,988.89,0.59,0,0
BSEC-NRP,America/New_York,2024-01-31 00:00:00,01/30/2024,1706677140,39.365093,-76.627341,175,1,180,82,67,75.7,1,4.2,1.6,2.6,4.3,0,0.3,7.2,0,0.5,0,-2.4,-1.2,4.2,1.6,2.6,4.2,1.6,2.6,1006.71,1002.91,-0.01,0,0
BSEC-NRP,America/New_York,2024-02-01 00:00:00,01/31/2024,1706763540,39.365093,-76.627341,124.9,1,310,99,81,90.6,1,5.2,-1.6,2.4,2.9,0,0.1,3.6,0,0.2,2.5,-1.7,1,5.2,-1.6,2.4,5.2,-1.6,2.4,1003.79,1001.39,-0.04,0,0
BSEC-NRP,America/New_York,2024-02-02 00:00:00,02/01/2024,1706849940,39.365093,-76.627341,412.3,4,357,99,46,81,1,12.9,-2.6,4.1,8.6,0,0.6,11.2,0,0.9,3.4,-2.7,0.7,12.9,-2.6,4.1,12.9,-2.6,4.1,1002.4,994.68,-0.3,0,0
BSEC-NRP,America/New_York,2024-02-03 00:00:00,02/02/2024,1706936340,39.365093,-76.627341,244.1,2,325,99,59,80.6,1,9.1,2.5,5.7,10.4,0,0.7,14.8,0,1.1,5.6,-2.2,2.4,9.1,2.5,5.7,9.1,2.5,5.7,1001.29,992.99,0.25,1.8,0.99
BSEC-NRP,America/New_York,2024-02-04 00:00:00,02/03/2024,1707022740,39.365093,-76.627341,409.9,3,316,88,39,68.4,0,10.4,-1.6,2.9,9.7,0,0.6,13,0,0.9,-1.3,-4.2,-2.8,10.4,-1.6,2.9,10.4,-1.6,2.9,1003.12,1000,0.02,0,0
BSEC-NRP,America/New_York,2024-02-05 00:00:00,02/04/2024,1707109080,39.365093,-76.627341,420.6,4,323,92,25,67.5,0,12.6,-3.3,2.4,6.8,0,0.3,9.4,0,0.5,-2,-7.7,-4.2,12.6,-3.3,2.4,12.6,-3.3,2.4,1001.8,996.41,-0.19,0,0
BSEC-NRP,America/New_York,2024-02-06 00:00:00,02/05/2024,1707195540,39.365093,-76.627341,417.1,4,325,90,37,69.4,1,11.1,-3.1,2.3,5,0,0.4,7.2,0,0.6,-1.1,-5,-3.3,11.1,-3.1,2.3,11.1,-3.1,2.3,1000.41,995.7,0.16,0,0
BSEC-NRP,America/New_York,2024-02-07 00:00:00,02/06/2024,1707281880,39.365093,-76.627341,423.9,4,321,94,28,66.6,0,8.4,-4.5,0.4,6.5,0,0.5,9.4,0,0.7,-2.9,-9.7,-5.9,8.4,-4.5,0.4,8.4,-4.5,0.4,1007.48,1000.1,0.29,0,0
BSEC-NRP,America/New_York,2024-02-08 00:00:00,02/07/2024,1707368280,39.365093,-76.627341,445.1,4,311,89,33,67.9,1,11.4,-4.8,1.4,5.4,0,0.4,9.4,0,0.6,-2.2,-6.6,-4.6,11.4,-4.8,1.4,11.4,-4.8,1.4,1011.62,1006.71,0.1,0,0
BSEC-NRP,America/New_York,2024-02-09 00:00:00,02/08/2024,1707454740,39.365093,-76.627341,441,4,149,90,38,68.4,1,13.1,-2.4,4.3,5,0,0.4,7.2,0,0.7,0.9,-4,-1.6,13.1,-2.4,4.3,13.1,-2.4,4.3,1010.7,1005.32,-0.18,0,0
BSEC-NRP,America/New_York,2024-02-10 00:00:00,02/09/2024,1707541140,39.365093,-76.627341,463.4,4,125,97,44,82.9,1,16.6,3.2,5.9,4.7,0,0.2,5.4,0,0.3,5.3,1,3,16.6,3.2,5.9,16.6,3.2,5.9,1005.38,997.7,-0.31,0,0
BSEC-NRP,America/New_York,2024-02-11 00:00:00,02/10/2024,1707627540,39.365093,-76.627341,284,2,123,95,58,83.6,1,16.8,3.2,9.5,5,0,0.1,5.4,0,0.2,10.4,2.4,6.7,16.8,3.2,9.5,16.8,3.2,9.5,997.9,993.19,-0.12,0,0
BSEC-NRP,America/New_York,2024-02-12 00:00:00,02/11/2024,1707713880,39.365093,-76.627341,172.9,1,25,94,63,79.8,1,12,7.2,9.8,3.6,0,0.1,3.6,0,0.2,9,3.3,6.3,12,7.2,9.8,12,7.2,9.8,998.51,994.79,0.08,0,0
BSEC-NRP,America/New_York,2024-02-13 00:00:00,02/12/2024,1707800340,39.365093,-76.627341,86,0,163,99,82,92.8,1,8.3,4.8,6.8,2.9,0,0.1,3.6,0,0.2,7,4.5,5.7,8.3,4.8,6.8,8.3,4.8,6.8,998.1,986.39,-0.44,3,6.1
BSEC-NRP,America/New_York,2024-02-14 00:00:00,02/13/2024,1707886740,39.365093,-76.627341,606.5,5,325,99,53,82.3,1,7.6,0.2,3.6,16.9,0,1.6,29.5,0,2.7,4.6,-3.5,0.5,7.6,-1.4,3.5,7.6,0.2,3.6,997.8,978.29,0.46,10.8,21.59
BSEC-NRP,America/New_York,2024-02-15 00:00:00,02/14/2024,1707973140,39.365093,-76.627341,466.4,4,317,82,32,54.4,1,6.9,-3.4,1.9,12.2,0,1.7,20.2,0,2.7,-1.7,-9.6,-6.7,6.8,-3.4,1.8,6.9,-3.4,1.9,1007.11,997.39,0.39,0,0
BSEC-NRP,America/New_York,2024-02-16 00:00:00,02/15/2024,1708059540,39.365093,-76.627341,470.4,4,26,96,49,75.4,1,7.3,-5.6,0.2,6.5,0,0.5,9.4,0,0.9,1.3,-8.6,-4,7.3,-5.6,0.2,7.3,-5.6,0.2,1008.2,992.89,-0.58,0,0
BSEC-NRP,America/New_York,2024-02-17 00:00:00,02/16/2024,1708145940,39.365093,-76.627341,451.9,4,316,86,29,46.9,0,9.1,1.3,4.6,9.4,0,1.9,18.4,0,3,0.6,-9.4,-6.1,9.1,0,4.5,9.1,1.3,4.6,1000.81,992.79,0.03,0,0
BSEC-NRP,America/New_York,2024-02-18 00:00:00,02/17/2024,1708232340,39.365093,-76.627341,361.9,3,316,99,41,71.5,1,3.2,-4.1,-0.1,11.2,0,1.2,14.8,0,1.9,-0.1,-11.8,-5.2,3.2,-4.2,-0.3,3.2,-4.1,-0.1,999.49,989.5,0.19,4.8,3.51
BSEC-NRP,America/New_York,2024-02-19 00:00:00,02/18/2024,1708318740,39.365093,-76.627341,484.1,4,103,70,29,49.6,1,8.2,-5.2,0.7,16.2,0,1.4,25.6,0,2.3,-4.9,-11.7,-9.1,8.2,-7,0.6,8.2,-5.2,0.7,999.29,993.3,0.01,1.8,0.3
