stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-OG,America/New_York,2024-01-02 00:00:00,01/01/2024,1704171540,39.315685,-76.617747,92.2,0,353,88,67,80.6,1,7,3.3,4.9,5,0,0.3,9.4,0,0.7,2.9,0.8,1.8,7,3.3,4.9,7,3.3,4.9,1010.09,1004.61,0.15,1.8,0.71
BSEC-OG,America/New_York,2024-01-03 00:00:00,01/02/2024,1704257940,39.315685,-76.617747,334,3,348,83,51,68.2,1,5.9,0.4,3.5,6.5,0,0.6,11.2,0,1.3,1.5,-4.3,-1.9,5.9,0.4,3.5,5.9,0.4,3.5,1013.11,1008.4,-0.01,0,0
BSEC-OG,America/New_York,2024-01-04 00:00:00,01/03/2024,1704344340,39.315685,-76.617747,260.3,2,342,88,47,70.7,1,7.4,-1.7,2.8,4,0,0.1,5.4,0,0.2,0.4,-3.6,-2.2,7.4,-1.7,2.8,7.4,-1.7,2.8,1010.3,1005.69,-0.16,0,0
BSEC-OG,America/New_York,2024-01-05 00:00:00,01/04/2024,1704430740,39.315685,-76.617747,145.1,1,355,77,40,59.1,1,6.4,-0.6,3.6,7.9,0,0.6,14.8,0,1.2,-0.1,-8,-3.8,6.4,-0.6,3.6,6.4,-0.6,3.6,1015.82,1004.4,0.4,0,0
BSEC-OG,America/New_York,2024-01-06 00:00:00,01/05/2024,1704517140,39.315685,-76.617747,266.6,2,344,80,42,61.5,1,3.9,-3.8,-0.3,2.2,0,0.1,3.6,0,0.3,-3.2,-8.9,-7,3.9,-3.8,-0.3,3.9,-3.8,-0.3,1020.01,1013.41,-0.06,0,0
BSEC-OG,America/New_York,2024-01-07 00:00:00,01/06/2024,1704603480,39.315685,-76.617747,141.9,1,319,98,66,86.5,1,3.1,-0.6,1.4,7.9,0,0.7,14.8,0,1.3,2.8,-5,-0.7,3.1,-0.6,1.4,3.1,-0.6,1.4,1013.61,992.99,-0.81,7.8,27.2
BSEC-OG,America/New_York,2024-01-08 00:00:00,01/07/2024,1704689880,39.315685,-76.617747,177,1,355,97,63,81.2,1,8,1.2,4.3,7.9,0,0.4,13,0,0.9,3.4,-1.1,1.2,8,1.2,4.3,8,1.2,4.3,1009.99,993.6,0.67,0,0
BSEC-OG,America/New_York,2024-01-09 00:00:00,01/08/2024,1704776340,39.315685,-76.617747,261.1,2,343,82,47,67.5,1,7.8,1.9,4.4,6.5,0,0.3,16.6,0,0.6,0,-3.1,-1.2,7.8,1.9,4.4,7.8,1.9,4.4,1021.61,1010.09,0.38,0,0
BSEC-OG,America/New_York,2024-01-10 00:00:00,01/09/2024,1704862740,39.315685,-76.617747,31.2,0,346,99,81,92.1,1,13.9,2.5,7.6,11.2,0,1.5,18.4,0,2.5,13.4,-0.3,6.3,13.9,2.5,7.5,13.9,2.5,7.6,1019.71,975.11,-1.86,42.6,78.21
BSEC-OG,America/New_York,2024-01-11 00:00:00,01/10/2024,1704949140,39.315685,-76.617747,307.5,2,1,99,43,59,1,13.4,5,8.5,7.2,0,1.1,14.8,0,2.2,13.1,-2.8,0.7,13.4,5,8.5,13.4,5,8.5,999.29,975.01,1,1.8,0.3
BSEC-OG,America/New_York,2024-01-12 00:00:00,01/11/2024,1705035540,39.315685,-76.617747,275.8,2,4,84,43,62.7,1,10.1,1.8,5.7,5.4,0,0.4,9.4,0,0.7,0.7,-2.3,-1.2,10.1,1.8,5.7,10.1,1.8,5.7,1008.4,998.98,0.38,0,0
BSEC-OG,America/New_York,2024-01-13 00:00:00,01/12/2024,1705121940,39.315685,-76.617747,297.9,2,333,99,51,77.5,1,11.1,-0.3,5.2,7.9,0,1,16.6,0,1.7,10.8,-2,1.3,11.1,-0.3,5.2,11.1,-0.3,5.2,1012.6,986.29,-0.91,15.6,15.49
BSEC-OG,America/New_York,2024-01-14 00:00:00,01/13/2024,1705208340,39.315685,-76.617747,157.5,1,6,99,38,70.1,1,12.5,0.8,7.2,12.2,0,1.2,22,0,2.3,12,-7.8,1.5,12.5,0.8,7.2,12.5,0.8,7.2,1002.1,981.21,0.66,4.8,3
BSEC-OG,America/New_York,2024-01-15 00:00:00,01/14/2024,1705294740,39.315685,-76.617747,284.6,2,1,85,24,50.9,1,6.9,-1.9,0.6,7.2,0,0.9,11.2,0,1.6,-0.4,-16.6,-9.1,6.9,-1.9,0.6,6.9,-1.9,0.6,1013.61,1000.61,0.48,0,0
BSEC-OG,America/New_York,2024-01-16 00:00:00,01/15/2024,1705381140,39.315685,-76.617747,58.7,0,346,95,30,78.7,1,-1.7,-4.2,-2.9,4.3,0,0.2,7.2,0,0.4,-3.6,-17.1,-6.7,-1.7,-4.2,-2.9,-1.7,-4.2,-2.9,1016.29,1009.31,-0.16,0,0
BSEC-OG,America/New_York,2024-01-17 00:00:00,01/16/2024,1705467480,39.315685,-76.617747,29.6,0,95,95,59,80.6,1,-1,-8,-3.3,4.3,0,0.1,7.2,0,0.3,-2.3,-13.7,-6.4,-1,-8,-3.3,-1,-8,-3.3,1009.41,999.49,-0.1,0,0
BSEC-OG,America/New_York,2024-01-18 00:00:00,01/17/2024,1705553940,39.315685,-76.617747,122.5,1,1,70,34,54.5,1,-3.2,-9.9,-6.5,4.7,0,0.2,7.2,0,0.5,-12.1,-17.1,-14.5,-3.2,-9.9,-6.5,-3.2,-9.9,-6.5,1012.7,1006.6,0.24,0,0
BSEC-OG,America/New_York,2024-01-19 00:00:00,01/18/2024,1705640340,39.315685,-76.617747,36.8,0,358,79,44,60.3,1,0.8,-8.5,-2.7,4,0,0.1,5.4,0,0.2,-4.8,-13.5,-9.4,0.8,-8.5,-2.7,0.8,-8.5,-2.7,1014.29,1005.22,-0.31,0,0
BSEC-OG,America/New_York,2024-01-20 00:00:00,01/19/2024,1705726740,39.315685,-76.617747,24.7,0,327,95,66,85.9,1,0,-4.7,-1.6,1.4,0,0,1.8,0,0,-1.9,-6.1,-3.7,0,-4.7,-1.6,0,-4.7,-1.6,1005.69,997.6,0.01,0,0
BSEC-OG,America/New_York,2024-01-21 00:00:00,01/20/2024,1705813140,39.315685,-76.617747,94.2,0,37,85,47,61.5,1,-3.5,-7.5,-5.5,5,0,0.5,9.4,0,1,-5.8,-14.5,-11.9,-3.5,-7.5,-5.5,-3.5,-7.5,-5.5,1014.9,1005.49,0.38,0,0
BSEC-OG,America/New_York,2024-01-22 00:00:00,01/21/2024,NaN,39.315685,-76.617747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BSEC-OG,America/New_York,2024-01-23 00:00:00,01/22/2024,NaN,39.315685,-76.617747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
