stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-PPH,America/New_York,2024-05-09 00:00:00,05/08/2024,1715227140,39.333,-76.661,896.8,8,331,71,42,52.8,-1,30.6,21.4,26.5,11.5,0,1.7,14.8,0,2.5,19.8,11.4,15.9,30.6,21.4,26.5,31,21,26.7,1012.7,1009.41,-0.08,0,0
BSEC-PPH,America/New_York,2024-05-10 00:00:00,05/09/2024,1715313540,39.333,-76.661,513.7,5,11,89,53,70.2,1,21.3,15.7,18,7.2,0,0.6,14.8,0,1.1,14.3,9.6,12.3,21.3,15.7,18,21,15.7,18,1013.21,1008.6,-0.02,0,0
BSEC-PPH,America/New_York,2024-05-11 00:00:00,05/10/2024,1715399940,39.333,-76.661,341.8,3,148,97,81,93.4,1,15.6,8.9,11.6,9.4,0,1.5,18.4,0,2.4,13,7.8,10.6,15.6,8.9,11.6,15.6,8.9,11.6,1015.31,1007.48,0.22,4.8,6.1
BSEC-PPH,America/New_York,2024-05-12 00:00:00,05/11/2024,1715486340,39.333,-76.661,1026.5,10,58,95,43,71.6,1,19,7.7,12.6,7.2,0,1.2,9.4,0,1.8,10.7,4.3,7.1,19,7.7,12.6,19,7.7,12.6,1019.81,1013.82,-0.05,5.99,2.11
BSEC-PPH,America/New_York,2024-05-13 00:00:00,05/12/2024,1715572740,39.333,-76.661,1106.2,10,59,99,53,86.4,1,18.6,7.9,12.4,9.7,0,1,13,0,1.5,13.3,7.6,10,18.6,7.9,12.4,18.6,7.9,12.4,1021.61,1012.7,0.3,22.81,11.1
BSEC-PPH,America/New_York,2024-05-14 00:00:00,05/13/2024,1715659140,39.333,-76.661,895.1,8,158,98,34,73.5,1,25.2,11.8,17.4,6.8,0,1.5,11.2,0,2.3,14.3,7.8,12,25.2,11.8,17.4,24.8,11.8,17.3,1026.99,1020.69,-0.02,0,0
BSEC-PPH,America/New_York,2024-05-15 00:00:00,05/14/2024,1715745540,39.333,-76.661,297.3,2,138,98,73,88.3,1,19.8,13.5,16.6,5.4,0,0.7,7.2,0,1.3,17.1,11.9,14.6,19.8,13.5,16.6,19.8,13.5,16.6,1022.49,1016.19,-0.21,4.8,6.1
BSEC-PPH,America/New_York,2024-05-16 00:00:00,05/15/2024,1715831880,39.333,-76.661,854.2,8,119,99,76,92.4,1,20.4,14.7,16.2,6.8,0,0.5,9.4,0,1,17.6,13.3,15,20.4,14.7,16.2,20.4,14.7,16.2,1016.29,1011.41,-0.19,1.8,1.5
BSEC-PPH,America/New_York,2024-05-17 00:00:00,05/16/2024,1715918340,39.333,-76.661,1136,11,355,95,50,73.6,1,25.8,13.8,19.3,9.7,0,1.8,14.8,0,2.7,16.3,12.8,14.1,25.8,13.8,19.3,25.8,13.8,19.2,1016.39,1010.4,0.18,0,0
BSEC-PPH,America/New_York,2024-05-18 00:00:00,05/17/2024,1716004680,39.333,-76.661,326.3,3,305,92,66,80.6,1,20.9,15.5,17.5,7.2,0,0.7,11.2,0,1.3,14.7,13.2,14.1,20.9,15.5,17.5,20.9,15.5,17.5,1021.91,1015.92,0.16,0,0
BSEC-PPH,America/New_York,2024-05-19 00:00:00,05/18/2024,1716091140,39.333,-76.661,432.1,4,142,98,84,91.5,1,17.8,15.3,16.5,4.7,0,0.2,5.4,0,0.3,16.1,14,15.1,17.8,15.3,16.5,17.8,15.3,16.5,1021.81,1018.19,0,4.19,7.19
BSEC-PPH,America/New_York,2024-05-20 00:00:00,05/19/2024,1716177540,39.333,-76.661,956.7,9,111,99,60,85.4,1,24.7,15.8,18.9,5,0,0.4,18.4,0,0.6,18,15.5,16.2,24.7,15.8,18.9,24.9,15.8,19,1022.99,1019.51,0.07,1.19,0.2
BSEC-PPH,America/New_York,2024-05-21 00:00:00,05/20/2024,1716263940,39.333,-76.661,1072.5,10,145,96,57,82.1,1,26.9,14.4,19.1,9.4,0,1.1,13,0,1.7,19,13.6,15.8,26.9,14.4,19.1,27.8,14.4,19.2,1026.01,1020.59,-0.01,0,0
BSEC-PPH,America/New_York,2024-05-22 00:00:00,05/21/2024,1716350340,39.333,-76.661,876.6,8,150,99,48,73.4,1,29.3,15,21.8,8.6,0,1.3,13,0,1.8,19.9,13.7,16.3,29.3,15,21.8,30.7,15,22.1,1025.5,1020.22,-0.03,0,0
BSEC-PPH,America/New_York,2024-05-23 00:00:00,05/22/2024,1716436740,39.333,-76.661,813.2,7,147,93,53,73.9,1,31.3,16.2,23,6.8,0,1.1,9.4,0,1.7,22.3,14.3,17.8,31.3,16.2,23,34.4,16.2,23.7,1023.91,1017.91,-0.08,0,0
BSEC-PPH,America/New_York,2024-05-24 00:00:00,05/23/2024,1716523140,39.333,-76.661,1051.8,10,46,90,48,77.3,1,30.5,20.7,23.6,6.8,0,0.8,9.4,0,1.3,20.7,18,19.2,30.5,20.7,23.6,32.2,20.7,24.1,1021.3,1016.49,-0.01,1.8,0.3
BSEC-PPH,America/New_York,2024-05-25 00:00:00,05/24/2024,1716609540,39.333,-76.661,1013,9,49,90,36,63,1,31.2,19.7,24.5,6.8,0,0.8,9.4,0,1.3,19,12.4,16.2,31.2,19.7,24.5,31.2,19.7,24.5,1020.89,1015.71,-0.06,0,0
BSEC-PPH,America/New_York,2024-05-26 00:00:00,05/25/2024,1716695940,39.333,-76.661,855.7,8,153,95,39,65.6,1,31.5,18.4,24.6,7.9,0,1.1,13,0,1.8,20.1,13.6,17,31.5,18.4,24.6,32.1,18.4,24.8,1020.29,1015.41,0,8.99,2.01
