stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-REM,America/New_York,2024-07-09 00:00:00,07/08/2024,1720497540,39.321,-76.625,135.1,1,173,71,46,62.9,-1,33.5,29.1,30.5,13.7,0,6.9,18.4,0,9,23.6,20.1,22.5,33.5,29.1,30.5,36.4,33,34.4,1016.8,1015.21,0.34,0,0
BSEC-REM,America/New_York,2024-07-10 00:00:00,07/09/2024,1720583940,39.321,-76.625,893.8,8,163,89,45,70,1,36.1,25.7,29.9,22.3,0,5.1,33.1,0,6.8,25.7,19.2,23.5,36.1,25.7,29.9,44.8,26.6,34.3,1016.8,1012.5,-0.13,0,0
BSEC-REM,America/New_York,2024-07-11 00:00:00,07/10/2024,1720670340,39.321,-76.625,865.1,8,153,92,57,76.5,1,34.6,26.6,29.8,27.7,0,8.8,42.1,0,11.9,26.3,24.2,25.1,34.6,26.6,29.8,44,29.6,35.7,1013.51,1007.21,-0.15,0,0
BSEC-REM,America/New_York,2024-07-12 00:00:00,07/11/2024,1720756740,39.321,-76.625,871.6,8,191,89,44,56.3,1,32.7,23.1,27.5,20.9,0,5.4,29.5,0,7.2,24.8,16.2,17.8,32.7,23.1,27.5,34.5,23.2,28.1,1019.71,1009.41,0.42,0,0
BSEC-REM,America/New_York,2024-07-13 00:00:00,07/12/2024,1720843140,39.321,-76.625,466.4,4,150,92,66,78.8,1,27.9,22.3,25.1,13.3,0,2.6,16.6,0,3.6,23.5,18.7,21.2,27.9,22.3,25.1,30.8,22.7,26.3,1023.3,1019.1,0.11,0,0
BSEC-REM,America/New_York,2024-07-14 00:00:00,07/13/2024,1720929540,39.321,-76.625,892.5,8,153,93,45,74,1,35.4,23.4,28,14.8,0,3.3,16.6,0,4.4,24.3,20.7,22.5,35.4,23.4,28,41.1,24.2,30.7,1022.69,1018.49,-0.11,0,0
BSEC-REM,America/New_York,2024-07-15 00:00:00,07/14/2024,1721015940,39.321,-76.625,722.3,7,156,92,42,66.9,1,36.4,24.1,30.1,22,0,4,25.6,0,5.3,24.8,20.2,22.7,36.4,24.1,30.1,42.4,25,33.6,1019.81,1014.09,-0.21,0,0
BSEC-REM,America/New_York,2024-07-16 00:00:00,07/15/2024,1721102340,39.321,-76.625,685.4,6,170,92,38,60.6,1,38,25.4,31.1,17.3,0,4.4,20.2,0,5.9,24.7,19.6,22,38,25.4,31.1,43,26.4,34.3,1014.8,1010.19,-0.16,0,0
BSEC-REM,America/New_York,2024-07-17 00:00:00,07/16/2024,1721188680,39.321,-76.625,680.8,6,172,95,33,54.8,1,39.4,24.1,32.4,28.8,0,5.5,43.9,0,7.5,23.9,19.4,21.3,39.4,24.1,32.4,43.8,25,35.6,1012.6,1007.69,0.04,0,0
BSEC-REM,America/New_York,2024-07-18 00:00:00,07/17/2024,1721275080,39.321,-76.625,829.3,8,147,95,41,67.3,1,36.7,24.8,30,22,0,4.2,31.3,0,5.8,24.6,20.2,22.6,36.7,24.8,30,42.7,25.8,33,1013.11,1008.81,0,0,0
