stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-RPL,America/New_York,2024-08-20 00:00:00,08/19/2024,1724126220,39.355864,-76.634992,663.9,6,124,86,59,76.5,-1,29.7,20.8,23.2,4.3,0,0.4,5.4,0,0.8,21.1,16.9,18.7,29.7,20.8,23.2,32.1,20.8,23.7,1016.49,1011.72,0.43,0,1.8
BSEC-RPL,America/New_York,2024-08-21 00:00:00,08/20/2024,1724212740,39.355864,-76.634992,943.9,9,111,82,44,65.5,1,23.5,14.2,19,6.5,0,0.9,9.4,0,1.5,17.6,9.3,12.1,23.5,14.2,19,23.1,14.2,18.9,1024.48,1016.19,0.34,0,0
BSEC-RPL,America/New_York,2024-08-22 00:00:00,08/21/2024,1724299140,39.355864,-76.634992,851.1,8,111,87,37,63.2,0,25.8,11.2,17.7,6.5,0,0.6,9.4,0,0.9,12.5,8.5,10,25.8,11.2,17.7,25.4,11.2,17.5,1027.5,1024.01,0.12,0,0
BSEC-RPL,America/New_York,2024-08-23 00:00:00,08/22/2024,1724385540,39.355864,-76.634992,786.7,7,100,91,36,57.6,0,27.7,11.8,20.8,5,0,0.6,7.2,0,0.9,13.6,9.4,11.5,27.7,11.8,20.8,27.3,11.8,20.6,1030.72,1026.79,0.14,0,0
BSEC-RPL,America/New_York,2024-08-24 00:00:00,08/23/2024,1724471940,39.355864,-76.634992,717.8,6,192,93,33,63.6,0,29.4,12.7,20.6,6.1,0,0.5,7.2,0,0.8,16.2,9.9,12.4,29.4,12.7,20.6,28.7,12.7,20.4,1032.92,1029.8,0,0,0
BSEC-RPL,America/New_York,2024-08-25 00:00:00,08/24/2024,1724558340,39.355864,-76.634992,692.6,6,221,88,42,67.4,1,30.3,15,21.9,8.3,0,0.5,11.2,0,0.9,17.8,12.5,15.2,30.3,15,21.9,30.7,15,22.1,1031.49,1028.01,-0.08,0,0
BSEC-RPL,America/New_York,2024-08-26 00:00:00,08/25/2024,1724630340,39.355864,-76.634992,600.2,5,224,90,46,66.2,1,31.4,16.4,23.6,5.4,0,0.8,7.2,0,1.4,19.9,14.4,16.5,31.4,16.4,23.6,33.2,16.4,24,1030.82,1027.19,-0.04,0,0
BSEC-RPL,America/New_York,2024-08-27 00:00:00,08/26/2024,1724731140,39.355864,-76.634992,129.6,1,224,95,55,83.3,-1,32,21.6,24.5,4,0,0.6,5.4,0,0.9,22.7,20.6,21.4,32,21.6,24.5,35.6,22.3,25.6,1025.6,1023.91,0.11,0,0
BSEC-RPL,America/New_York,2024-08-28 00:00:00,08/27/2024,1724817540,39.355864,-76.634992,697.8,6,203,96,39,66.7,1,33.8,18.2,26,4.7,0,0.6,5.4,0,1,20.7,16.4,18.4,33.8,18.2,26,36.6,18.2,26.6,1026.21,1022.69,-0.08,0,0
BSEC-RPL,America/New_York,2024-08-29 00:00:00,08/28/2024,1724903760,39.355864,-76.634992,773.1,7,210,96,41,68.4,1,36.9,21.6,28.3,6.1,0,0.8,7.2,0,1.3,24.3,17.2,21.5,36.9,21.6,28.3,44.5,22.1,31,1023.81,1020.29,-0.02,21.01,3.81
