stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-SHC,America/New_York,2024-04-30 00:00:00,04/29/2024,1714449480,39.34,-76.683,880.3,8,117,74,36,47.7,-1,32.3,20.5,28.2,10.8,0,3.2,14.8,0,4.3,18.1,14.1,15.8,32.3,20.5,28.2,33.3,20.5,28.2,999.39,995.5,-0.21,0,0
BSEC-SHC,America/New_York,2024-05-01 00:00:00,04/30/2024,1714535940,39.34,-76.683,888.7,8,126,90,40,58.4,1,30.5,17.9,23.7,14.4,0,2.4,20.2,0,3.3,17.6,12.5,14.7,30.5,17.9,23.7,30.8,17.9,23.7,995.8,991.09,-0.03,5.99,1.5
BSEC-SHC,America/New_York,2024-05-02 00:00:00,05/01/2024,1714622280,39.34,-76.683,948.8,9,60,97,35,65.2,1,28.1,16.4,21.6,12.2,0,1.6,18.4,0,2.3,16.9,9.8,13.8,28.1,16.4,21.6,27.6,16.4,21.4,997.09,993.5,0.07,5.99,0.71
BSEC-SHC,America/New_York,2024-05-03 00:00:00,05/02/2024,1714708740,39.34,-76.683,815,7,77,91,34,58.7,1,31.6,15,23.6,10.4,0,1.1,14.8,0,1.6,17.7,12.1,14.2,31.6,15,23.6,31.4,15,23.5,998.21,994.51,-0.02,0,0
BSEC-SHC,America/New_York,2024-05-04 00:00:00,05/03/2024,1714795140,39.34,-76.683,798.1,7,141,82,48,64.2,1,22.1,11.6,17.8,14.8,0,2.8,20.2,0,4,14.6,8.4,10.8,22.1,11.6,17.8,22,11.6,17.8,1005.01,996.11,0.33,0,0
BSEC-SHC,America/New_York,2024-05-05 00:00:00,05/04/2024,1714881420,39.34,-76.683,108,1,128,98,81,94.1,1,11.7,10.3,10.8,9.4,0,1.6,11.2,0,2.5,10.9,8.4,9.9,11.7,10.3,10.8,11.7,10.3,10.8,1006.4,1003.79,0.02,3,8.2
BSEC-SHC,America/New_York,2024-05-06 00:00:00,05/05/2024,1714967940,39.34,-76.683,222.1,2,137,99,93,97.7,1,18.2,10.5,14.3,7.9,0,1.1,11.2,0,1.7,17.6,9.9,13.9,18.2,10.5,14.3,18.2,10.5,14.3,1005.32,1000,-0.21,8.99,14.4
BSEC-SHC,America/New_York,2024-05-07 00:00:00,05/06/2024,1715054340,39.34,-76.683,379.4,3,137,99,79,93.7,1,22.2,17.2,19.1,5.4,0,0.4,5.4,0,0.6,19.3,17.1,18.1,22.2,17.2,19.1,22.6,17.2,19.2,1000.31,993.3,-0.28,0,0
BSEC-SHC,America/New_York,2024-05-08 00:00:00,05/07/2024,1715140740,39.34,-76.683,934.6,9,138,99,71,90.9,0,24.9,17.8,20.3,9.4,0,0.6,11.2,0,0.9,20.8,17.6,18.7,24.9,17.8,20.3,25.3,17.8,20.5,993.5,987.91,-0.17,47.4,14
BSEC-SHC,America/New_York,2024-05-09 00:00:00,05/08/2024,1715227140,39.34,-76.683,877.5,8,113,99,44,77.1,1,29.4,18.3,23.1,13.7,0,2,20.2,0,2.9,21.1,12.5,18.1,29.4,18.3,23.1,30.4,18.3,23.4,989.6,984.9,-0.07,1.8,0.3
