stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-UBC,America/New_York,2024-03-02 00:00:00,03/01/2024,1709355540,39.301761,-76.628,45.6,0,250,79,42,57.1,-1,9.4,5.6,7.7,12.2,0,4.1,18.4,0,5.4,2.3,-3.3,-0.4,9.1,4.4,7.5,9.4,5.6,7.7,1012.5,1010.4,-0.22,1.8,0.79
BSEC-UBC,America/New_York,2024-03-03 00:00:00,03/02/2024,1709441940,39.301761,-76.628,269.4,2,52,97,77,91.1,1,12.8,3.9,8.4,19.8,0,3,25.6,0,4.1,12.1,1.2,7,12.8,2.9,8.4,12.8,3.9,8.4,1010.7,996.51,-0.45,8.99,24.41
BSEC-UBC,America/New_York,2024-03-04 00:00:00,03/03/2024,1709528340,39.301761,-76.628,594.5,5,111,97,44,71.6,1,20.2,5.9,12.3,12.2,0,1.8,18.4,0,2.4,8.9,5.3,6.8,20.2,5.9,12.2,20.2,5.9,12.3,1003.69,999.7,0.15,0,0
BSEC-UBC,America/New_York,2024-03-05 00:00:00,03/04/2024,1709614740,39.301761,-76.628,565.1,5,295,83,51,68.2,1,19.5,10.9,13.7,9.7,0,1.9,13,0,2.7,9.7,6.1,7.8,19.5,10.9,13.7,19.5,10.9,13.7,1006.3,1002.91,-0.02,0,0
BSEC-UBC,America/New_York,2024-03-06 00:00:00,03/05/2024,1709701140,39.301761,-76.628,203.6,1,47,96,79,89.1,1,12.1,7.9,9.7,11.9,0,2.3,14.8,0,3.3,9.1,7,8,12.1,6.7,9.6,12.1,7.9,9.7,1003.18,995.19,-0.24,7.8,10.69
BSEC-UBC,America/New_York,2024-03-07 00:00:00,03/06/2024,1709787540,39.301761,-76.628,115.3,1,32,99,92,95.2,1,11.7,8.9,10.5,13.7,0,2.4,18.4,0,3.3,10.9,8,9.8,11.7,8.9,10.5,11.7,8.9,10.5,997.29,986.59,-0.4,4.8,5
BSEC-UBC,America/New_York,2024-03-08 00:00:00,03/07/2024,1709873940,39.301761,-76.628,618.7,6,98,93,52,71.1,1,16.4,9.8,13.3,26.6,0,7,33.1,0,9,10.9,4.8,7.9,16.4,9.8,13.3,16.4,9.8,13.3,1000.31,986.49,0.53,1.8,0.51
BSEC-UBC,America/New_York,2024-03-09 00:00:00,03/08/2024,1709960340,39.301761,-76.628,586.1,5,3,79,49,66.5,1,13.9,6.5,9.7,12.2,0,3.6,14.8,0,4.8,4.9,1.9,3.6,13.9,4.4,9.6,13.9,6.5,9.7,1005.32,1000.2,0.1,0,0
BSEC-UBC,America/New_York,2024-03-10 00:00:00,03/09/2024,1709995920,39.301761,-76.628,32.6,0,258,93,75,81.5,1,6.6,5.9,6.2,10.4,0,4.3,13,0,5.6,5.2,2.4,3.3,6.6,3.8,5.8,6.6,5.9,6.2,1003.79,995.8,-0.65,4.19,2.11
BSEC-UBC,America/New_York,2024-03-11 00:00:00,03/10/2024,NaN,39.301761,-76.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
