stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
BSEC-WHE,America/New_York,2024-03-15 00:00:00,03/14/2024,1710475140,39.316174,-76.682583,586.8,5,273,57,21,36.6,1,26.3,8.5,17.3,15.1,0,1.6,22,0,2.5,6.8,-2.1,1.7,26.3,8.5,17.3,25.7,8.5,17.1,1019.1,1012.29,-0.13,0,0
BSEC-WHE,America/New_York,2024-03-16 00:00:00,03/15/2024,1710561540,39.316174,-76.682583,397.3,3,274,77,34,56.2,1,23.1,11.2,17.8,21.6,0,3.7,36.7,0,5.3,12.6,1.3,8.7,23.1,11.2,17.8,22.7,11.2,17.6,1013.31,1007.21,-0.06,0,0
BSEC-WHE,America/New_York,2024-03-17 00:00:00,03/16/2024,1710647940,39.316174,-76.682583,609.4,5,239,83,29,52.1,1,17.9,4.3,11.5,14.4,0,2.6,22,0,3.9,4.7,-2.9,1.3,17.9,4.3,11.5,17.9,4.3,11.5,1014.29,1006.3,-0.19,0,0
BSEC-WHE,America/New_York,2024-03-18 00:00:00,03/17/2024,1710734340,39.316174,-76.682583,724.3,7,262,89,21,51.5,1,20.7,6.5,12.9,20.5,0,3,27.7,0,4.3,5.8,-4.4,1.8,20.7,6.5,12.9,20.7,6.5,12.9,1007.11,1000.81,0.04,0,0
BSEC-WHE,America/New_York,2024-03-19 00:00:00,03/18/2024,1710820740,39.316174,-76.682583,659.6,6,256,56,26,40.5,1,10.6,1.8,5.9,21.6,0,6,27.7,0,8.6,-2.1,-10,-6.8,10.6,-2.2,4.9,10.6,1.8,5.9,1012.19,1007.11,0.2,0,0
BSEC-WHE,America/New_York,2024-03-20 00:00:00,03/19/2024,1710907080,39.316174,-76.682583,679.3,6,270,60,26,41.5,1,10.4,0.3,4.8,19.8,0,5,34.9,0,7.2,-5.2,-9.3,-7.5,10.4,-3.3,3.9,10.4,0.3,4.8,1014.29,1005.59,-0.22,0,0
BSEC-WHE,America/New_York,2024-03-21 00:00:00,03/20/2024,1710993480,39.316174,-76.682583,754.5,7,258,57,17,37.3,1,19,2.4,9,21.2,0,5.2,29.5,0,7.4,-0.6,-8.6,-5.3,19,0.4,8.8,19,2.4,9,1015.71,1001.59,0.37,0,0
BSEC-WHE,America/New_York,2024-03-22 00:00:00,03/21/2024,1711079940,39.316174,-76.682583,624.1,6,259,49,21,34.4,1,8.6,-2.5,2.8,18.7,0,3.8,25.6,0,5.5,-8.3,-14,-11.7,8.5,-4.3,2.1,8.6,-2.5,2.8,1027.09,1015.61,0.47,0,0
BSEC-WHE,America/New_York,2024-03-23 00:00:00,03/22/2024,1711166340,39.316174,-76.682583,554.3,5,91,84,36,48.2,1,7.9,-1.1,3.9,13,0,1.9,18.4,0,2.9,2.5,-12.1,-6.2,7.9,-1.2,3.8,7.9,-1.1,3.9,1027.9,1005.79,-0.87,0,0
BSEC-WHE,America/New_York,2024-03-24 00:00:00,03/23/2024,1711252740,39.316174,-76.682583,688.3,6,207,97,49,82,1,12.7,1,6,19.1,0,4.8,34.9,0,6.7,10.3,-8,2.9,12.7,-2.7,5.4,12.7,1,6,1005.79,990.79,-0.09,9.6,34.8
BSEC-WHE,America/New_York,2024-03-25 00:00:00,03/24/2024,1711339140,39.316174,-76.682583,637.9,6,183,68,31,47.6,1,10.3,-2.7,3.6,12.2,0,2.5,20.2,0,3.6,-2.9,-8.9,-6.8,10.3,-3.9,3.3,10.3,-2.7,3.6,1014.39,1003.39,0.43,0,0
BSEC-WHE,America/New_York,2024-03-26 00:00:00,03/25/2024,1711425540,39.316174,-76.682583,640.4,6,103,74,29,51.1,1,12.4,0.4,6.2,9.4,0,1.3,16.6,0,2.1,0.8,-6.6,-3.5,12.4,-0.6,6.2,12.4,0.4,6.2,1016.59,1011.41,-0.07,0,0
BSEC-WHE,America/New_York,2024-03-27 00:00:00,03/26/2024,1711511940,39.316174,-76.682583,696,6,129,87,44,65.4,1,14.3,1.5,7.4,11.9,0,1.6,18.4,0,2.5,5.3,-3.4,1.1,14.3,1.5,7.4,14.3,1.5,7.4,1012.6,1003.89,-0.33,0,0
BSEC-WHE,America/New_York,2024-03-28 00:00:00,03/27/2024,1711598340,39.316174,-76.682583,322.3,3,79,98,86,94.4,1,8,5.4,6.6,9.7,0,0.8,14.8,0,1.5,7.4,3.8,5.7,8,3.9,6.6,8,5.4,6.6,1007.42,1002.71,-0.01,10.8,18.8
BSEC-WHE,America/New_York,2024-03-29 00:00:00,03/28/2024,1711684740,39.316174,-76.682583,338.3,3,229,99,37,76.9,1,10.4,5.2,8.3,13,0,1.6,14.8,0,2.3,8.2,-4.5,3.9,10.4,5.2,8.3,10.4,5.2,8.3,1004.81,997.6,-0.18,4.8,2.49
BSEC-WHE,America/New_York,2024-03-30 00:00:00,03/29/2024,1711771140,39.316174,-76.682583,705.5,6,257,65,23,40.9,1,15.7,1,8.8,26.3,0,4.7,38.5,0,6.9,-0.7,-6.2,-4.3,15.7,1,8.8,15.7,1,8.8,1000.51,994.99,-0.03,0,0
BSEC-WHE,America/New_York,2024-03-31 00:00:00,03/30/2024,1711857540,39.316174,-76.682583,609,5,267,93,27,46.7,1,16.8,2,10.1,14.4,0,2,22,0,3,7.5,-6.9,-1.5,16.8,2,10.1,16.8,2,10.1,1000.81,992.69,-0.2,4.8,1.09
BSEC-WHE,America/New_York,2024-04-01 00:00:00,03/31/2024,1711943820,39.316174,-76.682583,695.2,6,255,98,41,70.8,1,19.8,5.4,12,10.4,0,1.6,14.8,0,2.4,8.2,4.7,6.3,19.8,5.4,12,19.8,5.4,12,1001.59,993.91,0.27,0,0
BSEC-WHE,America/New_York,2024-04-02 00:00:00,04/01/2024,1712030220,39.316174,-76.682583,394.3,3,94,98,71,91.4,1,11.9,9.1,10.2,8.6,0,0.7,9.4,0,1.3,10.4,6.4,8.8,11.9,8.9,10.2,11.9,9.1,10.2,1001.69,996.89,0,18.59,27.89
BSEC-WHE,America/New_York,2024-04-03 00:00:00,04/02/2024,1712116740,39.316174,-76.682583,88.1,0,86,99,89,96.5,1,9.9,7.3,8.4,14,0,2,16.6,0,3.2,8.8,6.8,7.8,9.9,5.1,8.3,9.9,7.3,8.4,1000.81,989.5,-0.36,27,34.01
BSEC-WHE,America/New_York,2024-04-04 00:00:00,04/03/2024,1712203140,39.316174,-76.682583,382.6,3,99,99,90,97.9,1,8.7,6.1,7.5,16.9,0,3.3,22,0,4.9,8.6,4.9,7.2,8.7,4.8,7.3,8.7,6.1,7.5,992.99,977.79,-0.43,18.01,33.81
BSEC-WHE,America/New_York,2024-04-05 00:00:00,04/04/2024,1712289540,39.316174,-76.682583,801.6,7,270,99,56,85,1,12.3,2.7,6.2,22,0,2.5,33.1,0,3.8,7,1.5,3.7,12.3,0.9,6,12.3,2.7,6.2,989.4,981.31,0.3,4.8,3.81
BSEC-WHE,America/New_York,2024-04-06 00:00:00,04/05/2024,1712375880,39.316174,-76.682583,912.5,8,266,86,42,65.2,1,11.2,2.7,6.4,21.6,0,5.1,27.7,0,7.7,3.6,-3.9,0.1,11.2,1.5,5.9,11.2,2.7,6.4,998.41,989.1,0.36,0,0
BSEC-WHE,America/New_York,2024-04-07 00:00:00,04/06/2024,1712462340,39.316174,-76.682583,980.3,9,253,71,39,54.2,1,13.2,2.7,8,17.6,0,4.6,27.7,0,6.8,1.2,-3.4,-1,13.2,0.2,7.7,13.2,2.7,8,1001.8,997.6,0.15,0,0
BSEC-WHE,America/New_York,2024-04-08 00:00:00,04/07/2024,1712548740,39.316174,-76.682583,768.5,7,230,75,28,49.7,1,18,3,10.6,14.8,0,2.2,22,0,3.1,3.5,-1.7,-0.2,18,3,10.5,18,3,10.6,1007.11,1001.8,0.2,0,0
